ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,,,,,,,,,,,,,space,5.9325028928,,,,,,,,,,,,,,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,,,,,,,,,,,,,,,space,17.6310639987,,,,,,,,,,,,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,,,,,,,,,,,,,,,,,space,15.5148904058,,,,,,,,,,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,,,,,,,,,,,,,,,,,,,space,5.08291416336,,,,,,,,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,,,,,,,,,,,,,,,,,,,,,right,9.19875310548,,,,,,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.63374685729,,,,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
10.0,109.0,9.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,right,1.0,7.33134976262,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
25.0,35.0,150.0,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,right,0.0,6.08328376943,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
10.0,19.0,89.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,left,0.0,3.93301129434,,,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,227.358431779,,,,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,39.0,150.0,,,,,0.0,0.0,0.0,26.0,,,,,,,,,,,,,,,,,,left,0.0,8.18456926988,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,125.0,31.0,,,,,0.0,1.0,1.0,73.0,,,,,,,,,,,,,,,,,,right,1.0,4.11685625883,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,55.0,90.0,,,,,0.0,2.0,2.0,81.0,,,,,,,,,,,,,,,,,,left,0.0,5.9325517281,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,5.0,0.0,36.0,61.0,,,,,0.0,3.0,3.0,46.0,,,,,,,,,,,,,,,,,,right,0.0,9.94982144283,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,5.0,0.0,56.0,9.0,,,,,0.0,4.0,4.0,37.0,,,,,,,,,,,,,,,,,,right,1.0,5.21590972785,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,109.0,149.0,,,,,0.0,5.0,5.0,28.0,,,,,,,,,,,,,,,,,,left,1.0,6.45061797276,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,5.0,0.0,56.0,60.0,,,,,0.0,6.0,6.0,47.0,,,,,,,,,,,,,,,,,,right,1.0,6.48283283971,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,20.0,5.0,,,,,0.0,7.0,7.0,0.0,,,,,,,,,,,,,,,,,,left,1.0,4.16714533838,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,35.0,60.0,,,,,0.0,8.0,8.0,75.0,,,,,,,,,,,,,,,,,,right,0.0,3.69971773168,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,75.0,151.0,,,,,0.0,9.0,9.0,87.0,,,,,,,,,,,,,,,,,,right,0.0,4.50069628889,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,61.0,4.0,,,,,0.0,10.0,10.0,2.0,,,,,,,,,,,,,,,,,,right,1.0,3.36725143995,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,39.0,59.0,,,,,0.0,11.0,11.0,16.0,,,,,,,,,,,,,,,,,,left,1.0,2.98279659869,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,61.0,89.0,,,,,0.0,12.0,12.0,22.0,,,,,,,,,,,,,,,,,,right,0.0,5.99994191155,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,5.0,0.0,149.0,59.0,,,,,0.0,13.0,13.0,49.0,,,,,,,,,,,,,,,,,,left,1.0,2.94998799684,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,5.0,0.0,15.0,91.0,,,,,0.0,14.0,14.0,50.0,,,,,,,,,,,,,,,,,,right,1.0,1.71675149444,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,149.0,89.0,,,,,0.0,15.0,15.0,24.0,,,,,,,,,,,,,,,,,,left,1.0,7.2516088672,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,35.0,11.0,,,,,0.0,16.0,16.0,65.0,,,,,,,,,,,,,,,,,,right,1.0,3.16641846299,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,75.0,10.0,,,,,0.0,17.0,17.0,67.0,,,,,,,,,,,,,,,,,,left,1.0,4.48359312862,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,125.0,9.0,,,,,0.0,18.0,18.0,68.0,,,,,,,,,,,,,,,,,,left,1.0,1.30074851681,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,75.0,5.0,,,,,0.0,19.0,19.0,62.0,,,,,,,,,,,,,,,,,,left,1.0,1.01556459069,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,75.0,90.0,,,,,0.0,20.0,20.0,82.0,,,,,,,,,,,,,,,,,,right,0.0,5.71659162315,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,59.0,9.0,,,,,0.0,21.0,21.0,7.0,,,,,,,,,,,,,,,,,,left,1.0,2.14926132746,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,40.0,10.0,,,,,0.0,22.0,22.0,6.0,,,,,,,,,,,,,,,,,,left,1.0,1.33425623504,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,5.0,0.0,15.0,11.0,,,,,0.0,23.0,23.0,35.0,,,,,,,,,,,,,,,,,,left,1.0,2.81644804729,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,150.0,9.0,,,,,0.0,24.0,24.0,69.0,,,,,,,,,,,,,,,,,,right,1.0,1.21688489243,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,25.0,0.0,35.0,90.0,,,,,0.0,25.0,25.0,80.0,,,,,,,,,,,,,,,,,,left,0.0,4.61745487759,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
,,,10.0,0.0,39.0,6.0,,,,,0.0,26.0,26.0,1.0,,,,,,,,,,,,,,,,,,left,1.0,1.68310292484,,,1,3.0.3,60.0227402250078,ninosDelConv2,2019_May_09_0814,31,
