ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,,,,,,,,,,,,,space,7.88074315991,,,,,,,,,,,,,,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,,,,,,,,,,,,,,,space,23.6798707051,,,,,,,,,,,,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,,,,,,,,,,,,,,,,,space,25.0962579818,,,,,,,,,,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,,,,,,,,,,,,,,,,,,,space,5.45010111481,,,,,,,,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,,,,,,,,,,,,,,,,,,,,,right,5.51679420378,,,,,,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.38341470808,,,,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
10.0,19.0,89.0,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,left,0.0,3.20044887345,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
10.0,109.0,9.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,left,1.0,3.34986948129,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
25.0,35.0,150.0,,,,,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,left,0.0,2.63325766474,,,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,63.0734493248,,,,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,5.0,0.0,104.0,5.0,,,,,0.0,0.0,0.0,33.0,,,,,,,,,,,,,,,,,,left,1.0,3.88414620981,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,25.0,0.0,55.0,11.0,,,,,0.0,1.0,1.0,66.0,,,,,,,,,,,,,,,,,,left,0.0,4.99991261028,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,10.0,0.0,61.0,4.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,left,1.0,4.46618643589,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,5.0,0.0,106.0,152.0,,,,,0.0,3.0,3.0,58.0,,,,,,,,,,,,,,,,,,right,0.0,5.79997625016,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,5.0,0.0,35.0,31.0,,,,,0.0,4.0,4.0,41.0,,,,,,,,,,,,,,,,,,left,0.0,4.10024191439,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,25.0,0.0,35.0,11.0,,,,,0.0,5.0,5.0,65.0,,,,,,,,,,,,,,,,,,left,0.0,2.51549518481,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
,,,10.0,0.0,39.0,29.0,,,,,0.0,6.0,6.0,11.0,,,,,,,,,,,,,,,,,,right,0.0,1.90137787536,1,3.0.3,60.2361372171422,ninosDelConv2,2019_Aug_10_0842,231,
