ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,,,,,,,,,,,,,space,3.63456369191,,,,,,,,,,,,,,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
,,,,,,,,,,,,,,,,,space,17.347947605,,,,,,,,,,,,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
,,,,,,,,,,,,,,,,,,,space,11.515955016,,,,,,,,,,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
,,,,,,,,,,,,,,,,,,,,,space,3.68398504518,,,,,,,,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
,,,,,,,,,,,,,,,,,,,,,,,right,4.11723049171,,,,,,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.3506823834,,,,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
25.0,35.0,150.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,left,0.0,4.11694416218,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
10.0,109.0,9.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,left,1.0,2.31748412736,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
10.0,19.0,89.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,right,0.0,2.18441351037,,,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,50.5918872692,,,,,,1,3.0.3,59.42300226674124,ninosDelConv2,2019_Aug_10_0824,134,
