key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.1446,0,27,27,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,6.1979,0,28,28,47,1,5000,0,56000,60
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.8323,0,29,29,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.0093,0,30,30,1,1,10000,0,39000,6
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.1655,0,31,31,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.8781,0,32,32,60,1,25000,0,35000,5
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.1182,0,33,33,53,1,5000,0,104000,90
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.9364,0,34,34,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.5437,0,35,35,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.3783,0,36,36,26,1,10000,0,39000,150
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.0017,0,37,37,49,1,5000,0,149000,59
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.8294,0,38,38,31,1,5000,0,35000,6
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,0.5421,0,39,39,46,1,5000,0,36000,61
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.7331,0,40,40,29,1,10000,0,151000,151
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.9296,0,41,41,79,1,25000,0,150000,61
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.5501,0,42,42,11,1,10000,0,39000,29
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,0,0.9477,0,43,43,36,1,5000,0,36000,9
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.0311,0,44,44,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.8331,0,45,45,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.149,0,46,46,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,0.8989,0,47,47,85,1,25000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.5325,0,48,48,73,1,25000,0,125000,31
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.8482,0,49,49,21,1,10000,0,40000,91
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.0159,0,50,50,65,1,25000,0,35000,11
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.3968,0,51,51,86,1,25000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,1,467,2022-09-07_08h35.08.977,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.0313,0,52,52,54,1,5000,0,150000,90
