ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,,,,,,,,,,,,,space,16.264311329,,,,,,,,,,,,,,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,,,,,,,,,,,,,,,space,30.7277850545,,,,,,,,,,,,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,,,,,,,,,,,,,,,,,space,14.1640986125,,,,,,,,,,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,,,,,,,,,,,,,,,,,,,space,4.31831757579,,,,,,,,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,,,,,,,,,,,,,,,,,,,,,left,5.28347483589,,,,,,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.6665563159,,,,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
10.0,19.0,89.0,,,,,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,right,0.0,4.78388916535,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
25.0,35.0,150.0,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,left,0.0,4.93348110741,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
10.0,109.0,9.0,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,left,1.0,3.11643427893,,,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,54.2729274276,,,,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,35.0,6.0,,,,,0.0,0.0,0.0,31.0,,,,,,,,,,,,,,,,,,right,1.0,2.38377905448,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,16.0,4.0,,,,,0.0,1.0,1.0,30.0,,,,,,,,,,,,,,,,,,left,1.0,3.61553108189,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,40.0,10.0,,,,,0.0,2.0,2.0,6.0,,,,,,,,,,,,,,,,,,left,1.0,1.21686855372,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,55.0,6.0,,,,,0.0,3.0,3.0,61.0,,,,,,,,,,,,,,,,,,left,1.0,1.71751729285,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,55.0,151.0,,,,,0.0,4.0,4.0,86.0,,,,,,,,,,,,,,,,,,left,0.0,2.01715149035,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,151.0,151.0,,,,,0.0,5.0,5.0,29.0,,,,,,,,,,,,,,,,,,left,0.0,6.13232581713,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,35.0,150.0,,,,,0.0,6.0,6.0,85.0,,,,,,,,,,,,,,,,,,right,0.0,1.98368796369,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,125.0,59.0,,,,,0.0,7.0,7.0,78.0,,,,,,,,,,,,,,,,,,right,1.0,6.24881407199,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,56.0,9.0,,,,,0.0,8.0,8.0,37.0,,,,,,,,,,,,,,,,,,right,1.0,6.31599249889,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,61.0,4.0,,,,,0.0,9.0,9.0,2.0,,,,,,,,,,,,,,,,,,left,1.0,1.7168700959,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,35.0,89.0,,,,,0.0,10.0,10.0,51.0,,,,,,,,,,,,,,,,,,right,0.0,2.63348912669,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,15.0,61.0,,,,,0.0,11.0,11.0,45.0,,,,,,,,,,,,,,,,,,left,0.0,4.0167752011,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,15.0,91.0,,,,,0.0,12.0,12.0,50.0,,,,,,,,,,,,,,,,,,right,0.0,2.28264052243,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,110.0,90.0,,,,,0.0,13.0,13.0,23.0,,,,,,,,,,,,,,,,,,right,1.0,3.61587498561,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,109.0,5.0,,,,,0.0,14.0,14.0,3.0,,,,,,,,,,,,,,,,,,right,1.0,1.00067289977,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,20.0,59.0,,,,,0.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,left,0.0,1.74951473079,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,75.0,59.0,,,,,0.0,16.0,16.0,77.0,,,,,,,,,,,,,,,,,,right,0.0,1.76688212482,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,125.0,31.0,,,,,0.0,17.0,17.0,73.0,,,,,,,,,,,,,,,,,,right,1.0,2.7000676498,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,125.0,4.0,,,,,0.0,18.0,18.0,63.0,,,,,,,,,,,,,,,,,,right,1.0,1.55108023804,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,149.0,59.0,,,,,0.0,19.0,19.0,49.0,,,,,,,,,,,,,,,,,,right,0.0,2.46740522856,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,149.0,61.0,,,,,0.0,20.0,20.0,19.0,,,,,,,,,,,,,,,,,,right,0.0,2.58353981265,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,5.0,0.0,56.0,89.0,,,,,0.0,21.0,21.0,52.0,,,,,,,,,,,,,,,,,,left,1.0,3.53357096444,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,35.0,90.0,,,,,0.0,22.0,22.0,80.0,,,,,,,,,,,,,,,,,,right,0.0,3.28255261882,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,10.0,0.0,60.0,29.0,,,,,0.0,23.0,23.0,12.0,,,,,,,,,,,,,,,,,,left,1.0,2.96707571845,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
,,,25.0,0.0,55.0,60.0,,,,,0.0,24.0,24.0,76.0,,,,,,,,,,,,,,,,,,right,0.0,2.04955708905,,,1,3.0.3,59.75151044047518,ninosDelConv2,2019_Aug_10_0850,195,
