ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro1.started,intro1.stopped,key1.keys,key1.rt,key1.started,key1.stopped,intro2.started,intro2.stopped,key2.keys,key2.rt,key2.started,key2.stopped,intro2_2.started,intro2_2.stopped,key2_2.keys,key2_2.rt,key2_2.started,key2_2.stopped,Intro2_3.started,Intro2_3.stopped,key2_3.keys,key2_3.rt,key2_3.started,key2_3.stopped,key3.keys,key3.rt,key3.started,key3.stopped,intro3.started,intro3.stopped,ss_am.started,ss_am.stopped,ss_del.started,ss_del.stopped,ll_am.started,ll_am.stopped,ll_del.started,ll_del.stopped,Intro4.started,Intro4.stopped,key4.keys,key4.rt,key4.started,key4.stopped,pregunta.started,pregunta.stopped,ssAm_P.started,ssAm_P.stopped,ssDel_P.started,ssDel_P.stopped,llAm_P.started,llAm_P.stopped,llDel_P.started,llDel_P.stopped,respP.keys,respP.corr,respP.rt,respP.started,respP.stopped,feedbackP.started,feedbackP.stopped,comienzo.started,comienzo.stopped,key5.keys,key5.rt,key5.started,key5.stopped,preguntaT.started,preguntaT.stopped,ssAm_T.started,ssAm_T.stopped,ssDel_T.started,ssDel_T.stopped,llAm_T.started,llAm_T.stopped,llDel_T.started,llDel_T.stopped,respT.keys,respT.corr,respT.rt,respT.started,respT.stopped,textfbT.started,textfbT.stopped,Gracias.started,Gracias.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,Unnamed: 111
,,,,,,,,,,,,,,,22.35770059999777,None,space,5.036624500004109,22.841761500007124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,,,,,,,,,,,,,,,,,,,27.90754030000244,None,space,26.375704399993992,28.42341970000416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,54.81887760000245,None,space,25.44592240000202,55.33570100000361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.81319380000059,None,space,7.022292499998002,81.33076240000082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,3.198704099995666,88.89593830000376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3809101999941,None,88.3809101999941,None,88.3809101999941,None,88.3809101999941,None,88.3809101999941,None,92.1117343000078,None,space,3.438407100009499,92.62896129999716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
25.0,35.0,150.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1434952999989,None,96.1434952999989,None,96.1434952999989,None,96.1434952999989,None,96.1434952999989,None,right,0.0,4.337401699987822,96.6441671000066,None,101.02138289999856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
10.0,109.0,9.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.03303819999564,None,104.03303819999564,None,104.03303819999564,None,104.03303819999564,None,104.03303819999564,None,left,1.0,6.288631399991573,104.52518270000292,None,110.84943309999652,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
10.0,19.0,89.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.8461132999946,None,113.8461132999946,None,113.8461132999946,None,113.8461132999946,None,113.8461132999946,None,right,0.0,4.358322999993106,114.35731520000265,None,118.74941079999552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.73977040000318,None,g,51.6032705999969,122.25551390000328,None,,,,,,,,,,,,,,,,,,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,5.0,0.0,35.0,89.0,,,,,0.0,0.0,0.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.91519939999853,None,173.91519939999853,None,173.91519939999853,None,173.91519939999853,None,173.91519939999853,None,right,1.0,4.038370099995518,174.42870910000056,None,178.5036820999958,None,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,10.0,0.0,40.0,10.0,,,,,0.0,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.516544099999,None,181.516544099999,None,181.516544099999,None,181.516544099999,None,181.516544099999,None,left,1.0,3.122544999991078,182.01157380000225,None,185.1609039000032,None,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
,,,5.0,0.0,35.0,6.0,,,,,0.0,2.0,2.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.1829424000025,None,188.1829424000025,None,188.1829424000025,None,188.1829424000025,None,188.1829424000025,None,left,1.0,1.5910757999954512,188.67627470000295,None,190.29307179999887,None,,,,,,,1,225,2019_Aug_10_0910,ninosDelConv2,3.1.5,59.6760188927364,
