key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,27,27,68,1,25000,0,125000,9,3.2206
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,28,28,60,1,25000,0,35000,5,3.6202
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,29,29,14,1,10000,0,150000,30,1.8068
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,30,30,76,1,25000,0,55000,60,1.645
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,31,31,10,1,10000,0,21000,31,2.1183
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,32,32,66,1,25000,0,55000,11,1.8677
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,33,33,48,1,5000,0,105000,60,3.5345
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,34,34,87,1,25000,0,75000,151,2.2181
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,35,35,23,1,10000,0,110000,90,13.3361
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,36,36,46,1,5000,0,36000,61,1.3013
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,37,37,86,1,25000,0,55000,151,2.7759
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,38,38,70,1,25000,0,35000,30,1.2345
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,39,39,8,1,10000,0,111000,10,8.1995
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,40,40,20,1,10000,0,20000,90,1.1041
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,41,41,81,1,25000,0,55000,90,2.8531
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,,0,0,42,42,78,1,25000,0,125000,59,
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,43,43,56,1,5000,0,35000,150,2.6842
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,44,44,53,1,5000,0,104000,90,3.5364
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,45,45,6,1,10000,0,40000,10,2.3092
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,46,46,41,1,5000,0,35000,31,1.027
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,47,47,40,1,5000,0,14000,31,2.2967
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,48,48,28,1,10000,0,109000,149,3.2688
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,49,49,35,1,5000,0,15000,11,2.4638
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,50,50,33,1,5000,0,104000,5,1.4028
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,51,51,54,1,5000,0,150000,90,4.6685
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,52,52,11,1,10000,0,39000,29,7.4698
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,53,53,39,1,5000,0,149000,10,0.9709
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,54,54,7,1,10000,0,59000,9,1.8443
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,55,55,29,1,10000,0,151000,151,2.9107
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,56,56,88,1,25000,0,125000,149,1.9178
,,,,,,,,,,,,,,,,,,,,,,,3,68,2022-05-04_08h04.13.439,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,57,57,84,1,25000,0,150000,89,2.2691
