key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.0,21.0,21.0,82.0,1.0,25000.0,0.0,75000.0,90.0,2.243005,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,22.0,22.0,51.0,1.0,5000.0,0.0,35000.0,89.0,1.33681,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,23.0,23.0,22.0,1.0,10000.0,0.0,61000.0,89.0,6.859945,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,24.0,24.0,16.0,1.0,10000.0,0.0,39000.0,59.0,2.561845,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,25.0,25.0,30.0,1.0,5000.0,0.0,16000.0,4.0,1.2549,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,26.0,26.0,14.0,1.0,10000.0,0.0,150000.0,30.0,1.575095,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,27.0,27.0,69.0,1.0,25000.0,0.0,150000.0,9.0,2.07659,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,28.0,28.0,6.0,1.0,10000.0,0.0,40000.0,10.0,2.30538,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,29.0,29.0,3.0,1.0,10000.0,0.0,109000.0,5.0,1.83764,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,30.0,30.0,40.0,1.0,5000.0,0.0,14000.0,31.0,2.605885,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,31.0,31.0,55.0,1.0,5000.0,0.0,14000.0,149.0,3.97109,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,32.0,32.0,12.0,1.0,10000.0,0.0,60000.0,29.0,2.60629,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,33.0,33.0,60.0,1.0,25000.0,0.0,35000.0,5.0,2.203465,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,34.0,34.0,21.0,1.0,10000.0,0.0,40000.0,91.0,3.609615,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,35.0,35.0,66.0,1.0,25000.0,0.0,55000.0,11.0,2.339645,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,36.0,36.0,77.0,1.0,25000.0,0.0,75000.0,59.0,2.486775,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,37.0,37.0,15.0,1.0,10000.0,0.0,20000.0,59.0,2.97612,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,38.0,38.0,73.0,1.0,25000.0,0.0,125000.0,31.0,2.373045,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,39.0,39.0,47.0,1.0,5000.0,0.0,56000.0,60.0,3.171945,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,40.0,40.0,84.0,1.0,25000.0,0.0,150000.0,89.0,4.35746,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,41.0,41.0,39.0,1.0,5000.0,0.0,149000.0,10.0,2.384755,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,42.0,42.0,62.0,1.0,25000.0,0.0,75000.0,5.0,2.13146,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,43.0,43.0,35.0,1.0,5000.0,0.0,15000.0,11.0,3.201045,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,44.0,44.0,76.0,1.0,25000.0,0.0,55000.0,60.0,1.69151,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,45.0,45.0,58.0,1.0,5000.0,0.0,106000.0,152.0,3.939515,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,46.0,46.0,11.0,1.0,10000.0,0.0,39000.0,29.0,1.858765,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,47.0,47.0,43.0,1.0,5000.0,0.0,106000.0,29.0,4.368465,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,48.0,48.0,46.0,1.0,5000.0,0.0,36000.0,61.0,1.45713,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,49.0,49.0,50.0,1.0,5000.0,0.0,15000.0,91.0,1.66891,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,50.0,50.0,36.0,1.0,5000.0,0.0,36000.0,9.0,2.943125,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,51.0,51.0,2.0,1.0,10000.0,0.0,61000.0,4.0,1.178365,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,52.0,52.0,19.0,1.0,10000.0,0.0,149000.0,61.0,2.035415,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,53.0,53.0,68.0,1.0,25000.0,0.0,125000.0,9.0,1.96853,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,54.0,54.0,31.0,1.0,5000.0,0.0,35000.0,6.0,1.635685,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,55.0,55.0,61.0,1.0,25000.0,0.0,55000.0,6.0,4.314435,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,56.0,56.0,8.0,1.0,10000.0,0.0,111000.0,10.0,1.651565,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,57.0,57.0,42.0,1.0,5000.0,0.0,56000.0,29.0,1.21741,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,58.0,58.0,79.0,1.0,25000.0,0.0,150000.0,61.0,1.92017,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,59.0,59.0,20.0,1.0,10000.0,0.0,20000.0,90.0,5.16763,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,60.0,60.0,88.0,1.0,25000.0,0.0,125000.0,149.0,2.39059,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,61.0,61.0,23.0,1.0,10000.0,0.0,110000.0,90.0,2.64697,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,62.0,62.0,75.0,1.0,25000.0,0.0,35000.0,60.0,1.43631,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,63.0,63.0,28.0,1.0,10000.0,0.0,109000.0,149.0,4.420525,,
,,,,,,,,,,,,,,,,,,,,,,,2,324,2020-11-11_11h27.44.931,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,64.0,64.0,29.0,1.0,10000.0,0.0,151000.0,151.0,3.274805,,
