ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,,,,,,,,,,,,,space,11.0147431516,,,,,,,,,,,,,,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,,,,,,,,,,,,,,,space,24.2291382868,,,,,,,,,,,,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,,,,,,,,,,,,,,,,,space,24.0795857729,,,,,,,,,,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,,,,,,,,,,,,,,,,,,,space,4.73358744849,,,,,,,,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,,,,,,,,,,,,,,,,,,,,,right,7.66474032402,,,,,,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.36779793445,,,,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
25.0,35.0,150.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,right,0.0,3.13275262062,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
10.0,19.0,89.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,right,0.0,5.85018171929,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
10.0,109.0,9.0,,,,,0.0,2.0,2.0,0.0,,,,,,,,,,,,,,,,,left,1.0,3.19949416816,,,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,37.7259788928,,,,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,25.0,0.0,55.0,60.0,,,,,0.0,0.0,0.0,76.0,,,,,,,,,,,,,,,,,,right,0.0,5.13322452502,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,10.0,0.0,150.0,30.0,,,,,0.0,1.0,1.0,14.0,,,,,,,,,,,,,,,,,,left,1.0,3.38303612266,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,5.0,0.0,35.0,6.0,,,,,0.0,2.0,2.0,31.0,,,,,,,,,,,,,,,,,,left,1.0,1.51625910541,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,5.0,0.0,15.0,11.0,,,,,0.0,3.0,3.0,35.0,,,,,,,,,,,,,,,,,,right,0.0,2.74969593529,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,10.0,0.0,39.0,29.0,,,,,0.0,4.0,4.0,11.0,,,,,,,,,,,,,,,,,,right,0.0,3.54969079467,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,25.0,0.0,75.0,5.0,,,,,0.0,5.0,5.0,62.0,,,,,,,,,,,,,,,,,,right,1.0,3.70011771889,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,10.0,0.0,39.0,6.0,,,,,0.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,right,1.0,3.6321506598,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,25.0,0.0,55.0,90.0,,,,,0.0,7.0,7.0,81.0,,,,,,,,,,,,,,,,,,right,0.0,8.13290375285,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,5.0,0.0,104.0,5.0,,,,,0.0,8.0,8.0,33.0,,,,,,,,,,,,,,,,,,left,1.0,3.29979797546,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,25.0,0.0,55.0,30.0,,,,,0.0,9.0,9.0,71.0,,,,,,,,,,,,,,,,,,right,0.0,4.28296621097,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
,,,10.0,0.0,150.0,5.0,,,,,0.0,10.0,10.0,4.0,,,,,,,,,,,,,,,,,,left,1.0,3.13311657263,1,3.0.3,59.77017489982951,ninosDelConv2,2019_May_09_0820,95,
