ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,25.0,0.0,55.0,60.0,,,,,0.0,18.0,18.0,76.0,,,,,,,,,,,,,,,,,,right,0.0,5.13247770537,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,125.0,31.0,,,,,0.0,19.0,19.0,73.0,,,,,,,,,,,,,,,,,,left,1.0,2.65100066038,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,40.0,10.0,,,,,0.0,20.0,20.0,6.0,,,,,,,,,,,,,,,,,,left,1.0,1.99924896518,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,35.0,60.0,,,,,0.0,21.0,21.0,75.0,,,,,,,,,,,,,,,,,,left,0.0,1.88370424137,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,151.0,150.0,,,,,0.0,22.0,22.0,59.0,,,,,,,,,,,,,,,,,,left,0.0,3.23375790892,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,75.0,151.0,,,,,0.0,23.0,23.0,87.0,,,,,,,,,,,,,,,,,,left,0.0,6.1830818234,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,36.0,61.0,,,,,0.0,24.0,24.0,46.0,,,,,,,,,,,,,,,,,,left,0.0,5.19922624389,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25.0,0.0,125.0,89.0,,,,,0.0,25.0,25.0,83.0,,,,,,,,,,,,,,,,,,right,1.0,2.46647331305,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,55.0,151.0,,,,,0.0,26.0,26.0,57.0,,,,,,,,,,,,,,,,,,left,1.0,7.96596953925,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5.0,0.0,56.0,29.0,,,,,0.0,27.0,27.0,42.0,,,,,,,,,,,,,,,,,,right,1.0,2.53414663719,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10.0,0.0,110.0,60.0,,,,,0.0,28.0,28.0,18.0,,,,,,,,,,,,,,,,,,right,1.0,2.53366342559,,,1,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
