ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,10.0,0.0,39.0,59.0,,,,,0.0,19.0,19.0,16.0,,,,,,,,,,,,,,,,,,left,0.0,3.16667840397,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,14.0,31.0,,,,,0.0,20.0,20.0,40.0,,,,,,,,,,,,,,,,,,right,0.0,3.88301123446,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,59.0,9.0,,,,,0.0,21.0,21.0,7.0,,,,,,,,,,,,,,,,,,right,1.0,1.53376959497,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,15.0,61.0,,,,,0.0,22.0,22.0,45.0,,,,,,,,,,,,,,,,,,left,0.0,3.30010255426,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,36.0,61.0,,,,,0.0,23.0,23.0,46.0,,,,,,,,,,,,,,,,,,left,0.0,1.65044067381,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,149.0,61.0,,,,,0.0,24.0,24.0,19.0,,,,,,,,,,,,,,,,,,right,1.0,1.73395105684,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,125.0,9.0,,,,,0.0,25.0,25.0,68.0,,,,,,,,,,,,,,,,,,right,1.0,1.24987212894,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,60.0,60.0,,,,,0.0,26.0,26.0,17.0,,,,,,,,,,,,,,,,,,left,0.0,3.6161408308,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10.0,0.0,109.0,5.0,,,,,0.0,27.0,27.0,3.0,,,,,,,,,,,,,,,,,,left,1.0,0.916900347918,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,75.0,151.0,,,,,0.0,28.0,28.0,87.0,,,,,,,,,,,,,,,,,,right,0.0,2.96706703026,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,56.0,89.0,,,,,0.0,29.0,29.0,52.0,,,,,,,,,,,,,,,,,,right,1.0,5.64965519728,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,105.0,60.0,,,,,0.0,30.0,30.0,48.0,,,,,,,,,,,,,,,,,,left,1.0,2.91694507049,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5.0,0.0,35.0,31.0,,,,,0.0,31.0,31.0,41.0,,,,,,,,,,,,,,,,,,left,1.0,2.28341682442,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,35.0,30.0,,,,,0.0,32.0,32.0,70.0,,,,,,,,,,,,,,,,,,left,0.0,1.69987791218,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,35.0,150.0,,,,,0.0,33.0,33.0,85.0,,,,,,,,,,,,,,,,,,right,0.0,2.76677453285,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,75.0,90.0,,,,,0.0,34.0,34.0,82.0,,,,,,,,,,,,,,,,,,right,0.0,1.79980722954,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,125.0,149.0,,,,,0.0,35.0,35.0,88.0,,,,,,,,,,,,,,,,,,left,0.0,3.68281383719,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25.0,0.0,35.0,90.0,,,,,0.0,36.0,36.0,80.0,,,,,,,,,,,,,,,,,,left,0.0,4.2493950855,1,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
