key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,trials.order
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,5.753775,0.0,22.0,22.0,36.0,1.0,5000.0,0.0,36000.0,9.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,2.737125,0.0,23.0,23.0,76.0,1.0,25000.0,0.0,55000.0,60.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,3.90564,0.0,24.0,24.0,32.0,1.0,5000.0,0.0,54000.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,8.588065,0.0,25.0,25.0,19.0,1.0,10000.0,0.0,149000.0,61.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,6.344005,0.0,26.0,26.0,9.0,1.0,10000.0,0.0,151000.0,11.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,12.922765,0.0,27.0,27.0,49.0,1.0,5000.0,0.0,149000.0,59.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.673495,0.0,28.0,28.0,67.0,1.0,25000.0,0.0,75000.0,10.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.440395,0.0,29.0,29.0,40.0,1.0,5000.0,0.0,14000.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,11.934305,0.0,30.0,30.0,83.0,1.0,25000.0,0.0,125000.0,89.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.67088,0.0,31.0,31.0,35.0,1.0,5000.0,0.0,15000.0,11.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,1.28582,0.0,32.0,32.0,29.0,1.0,10000.0,0.0,151000.0,151.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.975105,0.0,33.0,33.0,73.0,1.0,25000.0,0.0,125000.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,2.268405,0.0,34.0,34.0,68.0,1.0,25000.0,0.0,125000.0,9.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.592295,0.0,35.0,35.0,56.0,1.0,5000.0,0.0,35000.0,150.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.592965,0.0,36.0,36.0,20.0,1.0,10000.0,0.0,20000.0,90.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.80624,0.0,37.0,37.0,3.0,1.0,10000.0,0.0,109000.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.838375,0.0,38.0,38.0,6.0,1.0,10000.0,0.0,40000.0,10.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.802515,0.0,39.0,39.0,26.0,1.0,10000.0,0.0,39000.0,150.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.856395,0.0,40.0,40.0,86.0,1.0,25000.0,0.0,55000.0,151.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,16.4049,0.0,41.0,41.0,34.0,1.0,5000.0,0.0,151000.0,4.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,0.0,,0.0,42.0,42.0,41.0,1.0,5000.0,0.0,35000.0,31.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.33169,0.0,43.0,43.0,52.0,1.0,5000.0,0.0,56000.0,89.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,3.838595,0.0,44.0,44.0,21.0,1.0,10000.0,0.0,40000.0,91.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,4.456085,0.0,45.0,45.0,13.0,1.0,10000.0,0.0,111000.0,30.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,3.229865,0.0,46.0,46.0,74.0,1.0,25000.0,0.0,150000.0,29.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,17.892925,0.0,47.0,47.0,1.0,1.0,10000.0,0.0,39000.0,6.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,7.351705,0.0,48.0,48.0,44.0,1.0,5000.0,0.0,150000.0,30.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,0.0,,0.0,49.0,49.0,8.0,1.0,10000.0,0.0,111000.0,10.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,18.028815,0.0,50.0,50.0,4.0,1.0,10000.0,0.0,150000.0,5.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,5.87227,0.0,51.0,51.0,11.0,1.0,10000.0,0.0,39000.0,29.0,
,,,,,,,,,,,,,,,,,,,,,,,2,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,2.57551,1.0,0.0,90.0,28.0,1.0,10000.0,0.0,109000.0,149.0,89.0
