ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro1.started,intro1.stopped,key1.keys,key1.rt,key1.started,key1.stopped,intro2.started,intro2.stopped,key2.keys,key2.rt,key2.started,key2.stopped,intro2_2.started,intro2_2.stopped,key2_2.keys,key2_2.rt,key2_2.started,key2_2.stopped,Intro2_3.started,Intro2_3.stopped,key2_3.keys,key2_3.rt,key2_3.started,key2_3.stopped,key3.keys,key3.rt,key3.started,key3.stopped,intro3.started,intro3.stopped,ss_am.started,ss_am.stopped,ss_del.started,ss_del.stopped,ll_am.started,ll_am.stopped,ll_del.started,ll_del.stopped,Intro4.started,Intro4.stopped,key4.keys,key4.rt,key4.started,key4.stopped,pregunta.started,pregunta.stopped,ssAm_P.started,ssAm_P.stopped,ssDel_P.started,ssDel_P.stopped,llAm_P.started,llAm_P.stopped,llDel_P.started,llDel_P.stopped,respP.keys,respP.corr,respP.rt,respP.started,respP.stopped,feedbackP.started,feedbackP.stopped,comienzo.started,comienzo.stopped,key5.keys,key5.rt,key5.started,key5.stopped,preguntaT.started,preguntaT.stopped,ssAm_T.started,ssAm_T.stopped,ssDel_T.started,ssDel_T.stopped,llAm_T.started,llAm_T.stopped,llDel_T.started,llDel_T.stopped,respT.keys,respT.corr,respT.rt,respT.started,respT.stopped,textfbT.started,textfbT.stopped,session,participant,date,expName,psychopyVersion,frameRate,Unnamed: 105
,,,25.0,0.0,35.0,5.0,,,,,0.0,2.0,2.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.15000509998936,None,199.15000509998936,None,199.15000509998936,None,199.15000509998936,None,199.15000509998936,None,right,1.0,1.4642523999937112,199.64561879998652,None,201.1281372999947,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,150.0,61.0,,,,,0.0,3.0,3.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.14122629999477,None,204.14122629999477,None,204.14122629999477,None,204.14122629999477,None,204.14122629999477,None,right,1.0,1.49710999999661,204.6444882999931,None,206.16151459999676,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,35.0,30.0,,,,,0.0,4.0,4.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.1758599999885,None,209.1758599999885,None,209.1758599999885,None,209.1758599999885,None,209.1758599999885,None,right,1.0,2.001119499997003,209.67640779999783,None,211.6944953999919,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,20.0,90.0,,,,,0.0,5.0,5.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.7194954999868,None,214.7194954999868,None,214.7194954999868,None,214.7194954999868,None,214.7194954999868,None,left,1.0,3.602368000007118,215.2095268999983,None,218.84237659999053,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,111.0,10.0,,,,,0.0,6.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.8582677999948,None,221.8582677999948,None,221.8582677999948,None,221.8582677999948,None,221.8582677999948,None,left,1.0,3.122216700008721,222.35747919999997,None,225.50666739999724,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,75.0,31.0,,,,,0.0,7.0,7.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.52828169999705,None,228.52828169999705,None,228.52828169999705,None,228.52828169999705,None,228.52828169999705,None,left,1.0,2.46652709999762,229.0235397999932,None,231.5064582999912,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,39.0,59.0,,,,,0.0,8.0,8.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.51321809999357,None,234.51321809999357,None,234.51321809999357,None,234.51321809999357,None,234.51321809999357,None,right,1.0,1.081961499992758,235.0223718999914,None,236.12115319998705,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,55.0,151.0,,,,,0.0,9.0,9.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.14527129998896,None,239.14527129998896,None,239.14527129998896,None,239.14527129998896,None,239.14527129998896,None,right,1.0,0.7684178999916185,239.6373481999908,None,240.4208709999948,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,5.0,0.0,151.0,4.0,,,,,0.0,10.0,10.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.4306007999985,None,243.4306007999985,None,243.4306007999985,None,243.4306007999985,None,243.4306007999985,None,right,1.0,0.9548219999996944,243.93735229999584,None,244.91964199999347,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,125.0,31.0,,,,,0.0,11.0,11.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.94395209998763,None,247.94395209998763,None,247.94395209998763,None,247.94395209998763,None,247.94395209998763,None,right,1.0,1.154600699999719,248.4358387999964,None,249.6190553999913,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,151.0,11.0,,,,,0.0,12.0,12.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.6399616999988,None,252.6399616999988,None,252.6399616999988,None,252.6399616999988,None,252.6399616999988,None,right,1.0,1.249916700005997,253.1348219999927,None,254.40165099999285,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,10.0,0.0,59.0,9.0,,,,,0.0,13.0,13.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.41813129998627,None,257.41813129998627,None,257.41813129998627,None,257.41813129998627,None,257.41813129998627,None,right,1.0,1.9190664000052493,257.9179206999979,None,259.8679734999896,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
,,,25.0,0.0,75.0,59.0,,,,,0.0,14.0,14.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.8908895999921,None,262.8908895999921,None,262.8908895999921,None,262.8908895999921,None,262.8908895999921,None,left,1.0,2.475055999995675,263.38359499999206,None,265.8839905999921,None,1,137,2019_Aug_10_0851,ninosDelConv2,3.1.5,60.6757457786095,
