ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 41
,,,,,,,,,,,,,,,space,8.79977566592,,,,,,,,,,,,,,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,,,,,,,,,,,,,,,space,31.8116339119,,,,,,,,,,,,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,,,,,,,,,,,,,,,,,space,34.7453001137,,,,,,,,,,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,,,,,,,,,,,,,,,,,,,space,19.4807591375,,,,,,,,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,,,,,,,,,,,,,,,,,,,,,right,6.06582436862,,,,,,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.43371580821,,,,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
25.0,35.0,150.0,,,,,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,None,0.0,,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
10.0,109.0,9.0,,,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,left,1.0,6.28280744539,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
10.0,19.0,89.0,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,left,0.0,7.933649752,,,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,77.2697272881,,,,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,25.0,0.0,35.0,11.0,,,,,0.0,0.0,0.0,65.0,,,,,,,,,,,,,,,,,,left,0.0,9.4159315236,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,10.0,0.0,151.0,11.0,,,,,0.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,left,1.0,4.63356899383,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,25.0,0.0,125.0,4.0,,,,,0.0,2.0,2.0,63.0,,,,,,,,,,,,,,,,,,left,1.0,5.06722260121,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,25.0,0.0,75.0,10.0,,,,,0.0,3.0,3.0,67.0,,,,,,,,,,,,,,,,,,right,0.0,6.86695200205,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,106.0,29.0,,,,,0.0,4.0,4.0,43.0,,,,,,,,,,,,,,,,,,left,1.0,3.15052179259,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,105.0,60.0,,,,,0.0,5.0,5.0,48.0,,,,,,,,,,,,,,,,,,left,0.0,6.68313890876,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,150.0,90.0,,,,,0.0,6.0,6.0,54.0,,,,,,,,,,,,,,,,,,left,1.0,15.0649612685,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,10.0,0.0,61.0,150.0,,,,,0.0,7.0,7.0,27.0,,,,,,,,,,,,,,,,,,right,0.0,5.08212046081,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,10.0,0.0,20.0,90.0,,,,,0.0,8.0,8.0,20.0,,,,,,,,,,,,,,,,,,right,0.0,3.60033680958,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,15.0,61.0,,,,,0.0,9.0,9.0,45.0,,,,,,,,,,,,,,,,,,right,0.0,5.23177761107,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,106.0,152.0,,,,,0.0,10.0,10.0,58.0,,,,,,,,,,,,,,,,,,right,1.0,3.93352175201,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,25.0,0.0,125.0,149.0,,,,,0.0,11.0,11.0,88.0,,,,,,,,,,,,,,,,,,left,0.0,3.3170230189,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,25.0,0.0,75.0,151.0,,,,,0.0,12.0,12.0,87.0,,,,,,,,,,,,,,,,,,right,0.0,5.85010895418,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,10.0,0.0,40.0,91.0,,,,,0.0,13.0,13.0,21.0,,,,,,,,,,,,,,,,,,left,0.0,3.1335646243,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,10.0,0.0,111.0,30.0,,,,,0.0,14.0,14.0,13.0,,,,,,,,,,,,,,,,,,left,1.0,4.05008499918,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,36.0,61.0,,,,,0.0,15.0,15.0,46.0,,,,,,,,,,,,,,,,,,left,0.0,3.80097033229,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,56.0,60.0,,,,,0.0,16.0,16.0,47.0,,,,,,,,,,,,,,,,,,right,0.0,5.26664089534,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,151.0,150.0,,,,,0.0,17.0,17.0,59.0,,,,,,,,,,,,,,,,,,left,0.0,6.48310580355,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,5.0,0.0,55.0,151.0,,,,,0.0,18.0,18.0,57.0,,,,,,,,,,,,,,,,,,right,0.0,3.43364692474,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,10.0,0.0,149.0,89.0,,,,,0.0,19.0,19.0,24.0,,,,,,,,,,,,,,,,,,left,1.0,9.74806470732,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
,,,10.0,0.0,39.0,59.0,,,,,0.0,20.0,20.0,16.0,,,,,,,,,,,,,,,,,,left,0.0,5.09957112296,1,3.0.3,60.03033434162222,ninosDelConv2,2019_Aug_10_0905,215,
