ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,Unnamed: 43
,,,,,,,,,,,,,,,space,25.2134294072,,,,,,,,,,,,,,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,,,,,,,,,,,,,,,space,27.7459976878,,,,,,,,,,,,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,,,,,,,,,,,,,,,,,space,15.9817366153,,,,,,,,,,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,,,,,,,,,,,,,,,,,,,space,24.2448711339,,,,,,,,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,,,,,,,,,,,,,,,,,,,,,left,6.7340530809,,,,,,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.36755319126,,,,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
10.0,109.0,9.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,right,1.0,7.21618834604,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
10.0,19.0,89.0,,,,,0.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,right,0.0,8.21499573532,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
25.0,35.0,150.0,,,,,0.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,right,0.0,5.26587495208,,,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,6.03159491625,,,,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,25.0,0.0,55.0,151.0,,,,,0.0,0.0,0.0,86.0,,,,,,,,,,,,,,,,,,left,0.0,4.9989595497,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,5.0,0.0,36.0,9.0,,,,,0.0,1.0,1.0,36.0,,,,,,,,,,,,,,,,,,left,1.0,9.5491805179,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,5.0,0.0,150.0,90.0,,,,,0.0,2.0,2.0,54.0,,,,,,,,,,,,,,,,,,left,1.0,3.48273825366,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,5.0,0.0,106.0,152.0,,,,,0.0,3.0,3.0,58.0,,,,,,,,,,,,,,,,,,left,1.0,2.34955557343,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,5.0,0.0,14.0,31.0,,,,,0.0,4.0,4.0,40.0,,,,,,,,,,,,,,,,,,left,0.0,6.31646218337,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,10.0,0.0,40.0,10.0,,,,,0.0,5.0,5.0,6.0,,,,,,,,,,,,,,,,,,left,1.0,6.80050716829,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,10.0,0.0,59.0,9.0,,,,,0.0,6.0,6.0,7.0,,,,,,,,,,,,,,,,,,left,1.0,4.68215706106,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
,,,25.0,0.0,35.0,150.0,,,,,0.0,7.0,7.0,85.0,,,,,,,,,,,,,,,,,,left,0.0,3.96628306154,,,1,3.0.3,59.363523969014565,ninosDelConv2,2019_Aug_10_0905,244,
