Name,Estimate,SE,tStat,pValue
(Intercept),-2.93699454131127,0.231014008584235,-12.7134910965382,7.47892421975203e-24
tabaco_Fuma actualmente,0.196649240284705,0.529625407780624,0.371298728111925,0.711080864115994
tabaco_Dejo de fumar en el último año (en los últimos 12 meses),1.11041189473395,0.79786620795568,1.39172693825333,0.16662298100003
tabaco_No sabe/No contesta,-0.467076582154717,0.695256909568469,-0.671804301009567,0.503021459029997
alcohol_0 días,0.448810885315901,0.320308084866139,1.40118500444178,0.163783303316256
alcohol_3 a 5 días,1.00194042568385,0.420495618673456,2.38276067856471,0.0187805404356783
alcohol_6 a 9 días,0.014744402079703,0.479523666825707,0.030748017459297,0.97552244317813
alcohol_10 a 19 días,-0.125910012015814,0.650432353846228,-0.193578949865063,0.846838408747864
alcohol_20 a 29 días,2.32830738122678,1.50106384489672,1.55110483084547,0.123554536915073
Rsquared,0.0465403806095198,NaN,NaN,NaN
