Name,Estimate,SE,tStat,pValue
(Intercept),-1.18525648447915,2.25663375135686,-0.525232100143183,0.600352251456783
edad,-0.0716637528433438,0.128060793002316,-0.559607286221068,0.576748708862218
sexo_Masculino,-0.381768567871925,0.282215736192002,-1.35275436098359,0.178575954320384
Rsquared,0.00340965416663652,NaN,NaN,NaN
