key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.0562,0,26,26,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,7.5291,0,27,27,74,1,25000,0,150000,29
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.1104,0,28,28,84,1,25000,0,150000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,7.2618,0,29,29,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.4861,0,30,30,56,1,5000,0,35000,150
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9342,0,31,31,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.7344,0,32,32,70,1,25000,0,35000,30
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.9757,0,33,33,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.0442,0,34,34,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,prueba,prueba1,2021-10-28_12h12.12.539,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.0535,0,35,35,10,1,10000,0,21000,31
