key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,trials.order
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,12.922765,0,27,27,49,1,5000,0,149000,59,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.673495,0,28,28,67,1,25000,0,75000,10,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.440395,0,29,29,40,1,5000,0,14000,31,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0,11.934305,0,30,30,83,1,25000,0,125000,89,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.67088,0,31,31,35,1,5000,0,15000,11,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0,1.28582,0,32,32,29,1,10000,0,151000,151,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.975105,0,33,33,73,1,25000,0,125000,31,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0,2.268405,0,34,34,68,1,25000,0,125000,9,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.592295,0,35,35,56,1,5000,0,35000,150,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.592965,0,36,36,20,1,10000,0,20000,90,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,1.80624,0,37,37,3,1,10000,0,109000,5,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.838375,0,38,38,6,1,10000,0,40000,10,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,0.802515,0,39,39,26,1,10000,0,39000,150,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,0.856395,0,40,40,86,1,25000,0,55000,151,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,16.4049,0,41,41,34,1,5000,0,151000,4,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,0,,0,42,42,41,1,5000,0,35000,31,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0,0.33169,0,43,43,52,1,5000,0,56000,89,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,0,3.838595,0,44,44,21,1,10000,0,40000,91,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,4.456085,0,45,45,13,1,10000,0,111000,30,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0,3.229865,0,46,46,74,1,25000,0,150000,29,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,0,17.892925,0,47,47,1,1,10000,0,39000,6,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,7.351705,0,48,48,44,1,5000,0,150000,30,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,,0,,0,49,49,8,1,10000,0,111000,10,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,18.028815,0,50,50,4,1,10000,0,150000,5,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,right,1,5.87227,0,51,51,11,1,10000,0,39000,29,
,,,,,,,,,,,,,,,,,,,,,,,002,129,2020-11-12_11h24.00.647,tareaTDv3,2020.2.5,Win32,60,,,left,1,2.57551,1,0,90,28,1,10000,0,109000,149,89
