key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,0,16.564465,0,27,27,40,1,5000,0,14000,31
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.23313,0,28,28,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.03274,0,29,29,14,1,10000,0,150000,30
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.58316,0,30,30,19,1,10000,0,149000,61
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.76705,0,31,31,3,1,10000,0,109000,5
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.57076,0,32,32,32,1,5000,0,54000,5
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.018105,0,33,33,43,1,5000,0,106000,29
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.02826,0,34,34,12,1,10000,0,60000,29
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.06704,0,35,35,72,1,25000,0,75000,31
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.79949,0,36,36,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,right,0,5.880935,0,37,37,67,1,25000,0,75000,10
,,,,,,,,,,,,,,,,,,,,,,002,112,2020-11-13_09h49.59.925,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.6395,0,38,38,81,1,25000,0,55000,90
