key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
space,15.44742,space,8.97293,space,1.570495,space,12.041385,space,14.952825,space,4.853585,,0,0,0,0,2,1,10000,19000,89,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,,,,,,,,,,,,
,,,,,,,,,,,,left,0,0,1,1,0,1,10000,109000,9,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,6.703915,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0,0,2,2,1,1,25000,35000,150,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,10.21445,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,g,27.675075,left,1,9.524455,0,0,0,28,1,10000,0,109000,149
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1,8.514585,0,1,1,87,1,25000,0,75000,151
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.56948,0,2,2,34,1,5000,0,151000,4
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1,3.904595,0,3,3,48,1,5000,0,105000,60
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1,5.14598,0,4,4,57,1,5000,0,55000,151
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.085135,0,5,5,81,1,25000,0,55000,90
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.95017,0,6,6,82,1,25000,0,75000,90
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.23195,0,7,7,76,1,25000,0,55000,60
,,,,,,,,,,,,,,,,,,,,,,002,87,2020-11-13_09h50.26.907,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.834655,0,8,8,33,1,5000,0,104000,5
