key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,26,26,40,1,5000,0,14000,31,0.61802,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,27,27,71,1,25000,0,55000,30,0.079395,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,28,28,33,1,5000,0,104000,5,0.095365,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,29,29,70,1,25000,0,35000,30,0.09298,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,30,30,54,1,5000,0,150000,90,0.190255,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,31,31,6,1,10000,0,40000,10,0.935645,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,32,32,1,1,10000,0,39000,6,3.61839,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,33,33,61,1,25000,0,55000,6,0.14487,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,34,34,35,1,5000,0,15000,11,0.851155,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,35,35,22,1,10000,0,61000,89,0.017955,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,36,36,52,1,5000,0,56000,89,0.10786,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,37,37,45,1,5000,0,15000,61,1.70266,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,38,38,7,1,10000,0,59000,9,0.352355,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,39,39,21,1,10000,0,40000,91,0.191915,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,40,40,0,1,10000,0,20000,5,0.41447,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,41,41,9,1,10000,0,151000,11,0.098265,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,42,42,81,1,25000,0,55000,90,3.152655,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,43,43,13,1,10000,0,111000,30,0.135135,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,44,44,75,1,25000,0,35000,60,3.577825,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,45,45,11,1,10000,0,39000,29,0.86985,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,46,46,46,1,5000,0,36000,61,0.341495,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,47,47,59,1,5000,0,151000,150,0.001425,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,48,48,29,1,10000,0,151000,151,0.27514,,
,,,,,,,,,,,,,,,,,,,,,,,002,000000,2020-11-12_08h35.51.096,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,49,49,26,1,10000,0,39000,150,0.18192,,
