ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,21.1470498573,,,,,,,,,,,,,,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,,,,,,,,,,,,,,,space,6.75002326071,,,,,,,,,,,,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,,,,,,,,,,,,,,,,,space,0.833875062875,,,,,,,,,,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,,,,,,,,,,,,,,,,,,,space,0.215916924179,,,,,,,,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,,,,,,,,,,,,,,,,,,,,,right,28.0944500966,,,,,,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,,,,,,,,,,,,,,,,,,,,,,,space,2.85006371792,,,,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
10,19,89,,,,,0,0,0,2,,,,,,,,,,,,,,,,,left,0,6.93321794458,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
10,109,9,,,,,0,1,1,0,,,,,,,,,,,,,,,,,left,1,3.64949804917,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,left,0,5.0820767656,,,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,45.524496058,,,,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,25,0,150.0,29,,,,,0,0,0,74,,,,,,,,,,,,,,,,,,right,1,6.73216392379,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,5,0,55.0,151,,,,,0,1,1,57,,,,,,,,,,,,,,,,,,right,1,1.96504264325,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,5,0,105.0,60,,,,,0,2,2,48,,,,,,,,,,,,,,,,,,left,1,1.75129812025,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,25,0,125.0,9,,,,,0,3,3,68,,,,,,,,,,,,,,,,,,right,1,2.48378846981,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,10,0,61.0,4,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,right,1,3.7669809442,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
,,,25,0,125.0,59,,,,,0,5,5,78,,,,,,,,,,,,,,,,,,right,1,1.8508569058,,,001,3.0.3,59.92363680975725,ninosDelConv2,2019_Aug_10_0846,288,
