key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,5.47707,0.0,22.0,22.0,87.0,1.0,25000.0,0.0,75000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.090145,0.0,23.0,23.0,10.0,1.0,10000.0,0.0,21000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.92087,0.0,24.0,24.0,39.0,1.0,5000.0,0.0,149000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,6.16918,0.0,25.0,25.0,73.0,1.0,25000.0,0.0,125000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.32619,0.0,26.0,26.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,6.30482,0.0,27.0,27.0,58.0,1.0,5000.0,0.0,106000.0,152.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,7.41175,0.0,28.0,28.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.98765,0.0,29.0,29.0,2.0,1.0,10000.0,0.0,61000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.62148,0.0,30.0,30.0,60.0,1.0,25000.0,0.0,35000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,5.92697,0.0,31.0,31.0,77.0,1.0,25000.0,0.0,75000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.33507,0.0,32.0,32.0,41.0,1.0,5000.0,0.0,35000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,3.502635,0.0,33.0,33.0,80.0,1.0,25000.0,0.0,35000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.252255,0.0,34.0,34.0,24.0,1.0,10000.0,0.0,149000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,7.401035,0.0,35.0,35.0,21.0,1.0,10000.0,0.0,40000.0,91.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.658275,0.0,36.0,36.0,30.0,1.0,5000.0,0.0,16000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,3.67917,0.0,37.0,37.0,85.0,1.0,25000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.50281,0.0,38.0,38.0,13.0,1.0,10000.0,0.0,111000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,10.09923,0.0,39.0,39.0,23.0,1.0,10000.0,0.0,110000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.51195,0.0,40.0,40.0,78.0,1.0,25000.0,0.0,125000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.61743,0.0,41.0,41.0,12.0,1.0,10000.0,0.0,60000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,6.07525,0.0,42.0,42.0,89.0,1.0,25000.0,0.0,150000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.958485,0.0,43.0,43.0,44.0,1.0,5000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.87842,0.0,44.0,44.0,33.0,1.0,5000.0,0.0,104000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.95752,0.0,45.0,45.0,32.0,1.0,5000.0,0.0,54000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.51738,0.0,46.0,46.0,43.0,1.0,5000.0,0.0,106000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.467975,0.0,47.0,47.0,1.0,1.0,10000.0,0.0,39000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,5.58371,0.0,48.0,48.0,83.0,1.0,25000.0,0.0,125000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.51115,0.0,49.0,49.0,37.0,1.0,5000.0,0.0,56000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.73716,0.0,50.0,50.0,70.0,1.0,25000.0,0.0,35000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.836485,0.0,51.0,51.0,82.0,1.0,25000.0,0.0,75000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,7.55905,0.0,52.0,52.0,84.0,1.0,25000.0,0.0,150000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,6.72652,0.0,53.0,53.0,15.0,1.0,10000.0,0.0,20000.0,59.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.794075,0.0,54.0,54.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.08242,0.0,55.0,55.0,64.0,1.0,25000.0,0.0,150000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.259755,0.0,56.0,56.0,18.0,1.0,10000.0,0.0,110000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.56869,0.0,57.0,57.0,14.0,1.0,10000.0,0.0,150000.0,30.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,2.724545,0.0,58.0,58.0,28.0,1.0,10000.0,0.0,109000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,3.871035,0.0,59.0,59.0,75.0,1.0,25000.0,0.0,35000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.18323,0.0,60.0,60.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,7.485575,0.0,61.0,61.0,56.0,1.0,5000.0,0.0,35000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,5.785015,0.0,62.0,62.0,65.0,1.0,25000.0,0.0,35000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,10.41886,0.0,63.0,63.0,88.0,1.0,25000.0,0.0,125000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,2.98044,0.0,64.0,64.0,55.0,1.0,5000.0,0.0,14000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.07275,0.0,65.0,65.0,61.0,1.0,25000.0,0.0,55000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,4.62369,0.0,66.0,66.0,5.0,1.0,10000.0,0.0,19000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.56269,0.0,67.0,67.0,74.0,1.0,25000.0,0.0,150000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,9.345905,0.0,68.0,68.0,46.0,1.0,5000.0,0.0,36000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,1.451755,0.0,69.0,69.0,86.0,1.0,25000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,12.30506,0.0,70.0,70.0,47.0,1.0,5000.0,0.0,56000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,2.124425,0.0,71.0,71.0,40.0,1.0,5000.0,0.0,14000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,36,2020-11-13_09h49.57.744,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,3.15228,0.0,72.0,72.0,29.0,1.0,10000.0,0.0,151000.0,151.0
