key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
space,1.526075,space,4.96473,space,5.05788,space,2.63525,space,1.97285,space,2.166575,left,1.0,5.990665,0.0,0.0,0.0,1.0,1.0,25000.0,35000.0,en 150 dias,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,0.48466,0.0,1.0,1.0,0.0,1.0,10000.0,109000.0,en 9 dias,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,right,0.0,1.750755,0.0,2.0,2.0,2.0,1.0,10000.0,19000.0,en 89 dias,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,g,1.518005,left,1.0,0.801065,0.0,0.0,0.0,4.0,1.0,10000.0,0.0,150000.0,en 5 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,3.081875,0.0,1.0,1.0,59.0,1.0,5000.0,0.0,151000.0,en 150 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,2.008475,0.0,2.0,2.0,81.0,1.0,25000.0,0.0,55000.0,en 90 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,1.972145,0.0,3.0,3.0,16.0,1.0,10000.0,0.0,39000.0,en 59 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.267595,0.0,4.0,4.0,24.0,1.0,10000.0,0.0,149000.0,en 89 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.05013,0.0,5.0,5.0,76.0,1.0,25000.0,0.0,55000.0,en 60 dias
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_20h20.11.250,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.03453,0.0,6.0,6.0,28.0,1.0,10000.0,0.0,109000.0,en 149 dias
