key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.016185,0.0,22.0,22.0,40.0,1.0,5000.0,0.0,14000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.490535,0.0,23.0,23.0,62.0,1.0,25000.0,0.0,75000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.92466,0.0,24.0,24.0,57.0,1.0,5000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.78943,0.0,25.0,25.0,59.0,1.0,5000.0,0.0,151000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.79235,0.0,26.0,26.0,74.0,1.0,25000.0,0.0,150000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.490785,0.0,27.0,27.0,4.0,1.0,10000.0,0.0,150000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.530615,0.0,28.0,28.0,33.0,1.0,5000.0,0.0,104000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.33444,0.0,29.0,29.0,36.0,1.0,5000.0,0.0,36000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.921075,0.0,30.0,30.0,63.0,1.0,25000.0,0.0,125000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.72349,0.0,31.0,31.0,46.0,1.0,5000.0,0.0,36000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.61315,0.0,32.0,32.0,26.0,1.0,10000.0,0.0,39000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.036995,0.0,33.0,33.0,22.0,1.0,10000.0,0.0,61000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.85256,0.0,34.0,34.0,54.0,1.0,5000.0,0.0,150000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.12071,0.0,35.0,35.0,27.0,1.0,10000.0,0.0,61000.0,150.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.856415,0.0,36.0,36.0,86.0,1.0,25000.0,0.0,55000.0,151.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,1.156485,0.0,37.0,37.0,80.0,1.0,25000.0,0.0,35000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.45262,0.0,38.0,38.0,55.0,1.0,5000.0,0.0,14000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.14403,0.0,39.0,39.0,61.0,1.0,25000.0,0.0,55000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.56674,0.0,40.0,40.0,42.0,1.0,5000.0,0.0,56000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.926715,0.0,41.0,41.0,6.0,1.0,10000.0,0.0,40000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.73646,0.0,42.0,42.0,79.0,1.0,25000.0,0.0,150000.0,61.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.79158,0.0,43.0,43.0,3.0,1.0,10000.0,0.0,109000.0,5.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.07175,0.0,44.0,44.0,88.0,1.0,25000.0,0.0,125000.0,149.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.70695,0.0,45.0,45.0,52.0,1.0,5000.0,0.0,56000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.42415,0.0,46.0,46.0,53.0,1.0,5000.0,0.0,104000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.578295,0.0,47.0,47.0,39.0,1.0,5000.0,0.0,149000.0,10.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.29989,0.0,48.0,48.0,81.0,1.0,25000.0,0.0,55000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.75016,0.0,49.0,49.0,51.0,1.0,5000.0,0.0,35000.0,89.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.32334,0.0,50.0,50.0,43.0,1.0,5000.0,0.0,106000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.93588,0.0,51.0,51.0,35.0,1.0,5000.0,0.0,15000.0,11.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.13989,0.0,52.0,52.0,48.0,1.0,5000.0,0.0,105000.0,60.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.965845,0.0,53.0,53.0,23.0,1.0,10000.0,0.0,110000.0,90.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.607655,0.0,54.0,54.0,34.0,1.0,5000.0,0.0,151000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.48956,0.0,55.0,55.0,7.0,1.0,10000.0,0.0,59000.0,9.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.66043,0.0,56.0,56.0,41.0,1.0,5000.0,0.0,35000.0,31.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.588595,0.0,57.0,57.0,31.0,1.0,5000.0,0.0,35000.0,6.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.74453,0.0,58.0,58.0,64.0,1.0,25000.0,0.0,150000.0,4.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,0.90472,0.0,59.0,59.0,12.0,1.0,10000.0,0.0,60000.0,29.0
,,,,,,,,,,,,,,,,,,,,,,2,94,2020-11-13_09h49.33.963,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,0.860375,0.0,60.0,60.0,83.0,1.0,25000.0,0.0,125000.0,89.0
