key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,21.0,21.0,89.0,1.0,25000.0,0.0,150000.0,150.0,2.9924
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,22.0,22.0,65.0,1.0,25000.0,0.0,35000.0,11.0,2.6232
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,23.0,23.0,28.0,1.0,10000.0,0.0,109000.0,149.0,3.6656
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,24.0,24.0,57.0,1.0,5000.0,0.0,55000.0,151.0,3.0573
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,25.0,25.0,9.0,1.0,10000.0,0.0,151000.0,11.0,1.4913
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,26.0,26.0,49.0,1.0,5000.0,0.0,149000.0,59.0,1.4657
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,27.0,27.0,23.0,1.0,10000.0,0.0,110000.0,90.0,0.9868
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,28.0,28.0,18.0,1.0,10000.0,0.0,110000.0,60.0,0.8562
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,29.0,29.0,25.0,1.0,10000.0,0.0,10000.0,150.0,3.9973
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,30.0,30.0,50.0,1.0,5000.0,0.0,15000.0,91.0,3.1507
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,31.0,31.0,68.0,1.0,25000.0,0.0,125000.0,9.0,0.9127
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.0,32.0,32.0,39.0,1.0,5000.0,0.0,149000.0,10.0,0.7909
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.0,33.0,33.0,53.0,1.0,5000.0,0.0,104000.0,90.0,1.0578
,,,,,,,,,,,,,,,,,,,,,,,07-09-2022,F448,2022-09-07_08h48.03.298,tareaTDv3,2020.2.5,Win32,60,,,left,0.0,0.0,34.0,34.0,55.0,1.0,5000.0,0.0,14000.0,149.0,1.5002
