key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,respT.rt,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,21.0,21.0,89.0,1.0,25000.0,0.0,150000.0,150.0,1.935,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,22.0,22.0,52.0,1.0,5000.0,0.0,56000.0,89.0,1.539,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,0.0,0.0,23.0,23.0,56.0,1.0,5000.0,0.0,35000.0,150.0,2.639,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,24.0,24.0,18.0,1.0,10000.0,0.0,110000.0,60.0,2.981,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,25.0,25.0,77.0,1.0,25000.0,0.0,75000.0,59.0,3.647,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,right,1.0,0.0,26.0,26.0,68.0,1.0,25000.0,0.0,125000.0,9.0,1.813,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,27.0,27.0,74.0,1.0,25000.0,0.0,150000.0,29.0,1.971,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,0.0,0.0,28.0,28.0,72.0,1.0,25000.0,0.0,75000.0,31.0,2.375,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,29.0,29.0,63.0,1.0,25000.0,0.0,125000.0,4.0,2.754,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,30.0,30.0,8.0,1.0,10000.0,0.0,111000.0,10.0,1.721,,
,,,,,,,,,,,,,,,,,,,,,,,2,55,2020-11-13_09h53.24.077,tareaTDv3,2020.2.5,MacIntel,60,,,left,1.0,0.0,31.0,31.0,32.0,1.0,5000.0,0.0,54000.0,5.0,2.456,,
