key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_am,ss_del,ll_am,ll_del,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,16.059285,0.0,21.0,21.0,76.0,1.0,25000.0,0.0,55000.0,60.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,4.138745,0.0,22.0,22.0,71.0,1.0,25000.0,0.0,55000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0.0,3.92013,0.0,23.0,23.0,21.0,1.0,10000.0,0.0,40000.0,91.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.151945,0.0,24.0,24.0,79.0,1.0,25000.0,0.0,150000.0,61.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.943395,0.0,25.0,25.0,35.0,1.0,5000.0,0.0,15000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.51859,0.0,26.0,26.0,14.0,1.0,10000.0,0.0,150000.0,30.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,3.406765,0.0,27.0,27.0,6.0,1.0,10000.0,0.0,40000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0.0,11.15511,0.0,28.0,28.0,80.0,1.0,25000.0,0.0,35000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.420045,0.0,29.0,29.0,74.0,1.0,25000.0,0.0,150000.0,29.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,9.96834,0.0,30.0,30.0,58.0,1.0,5000.0,0.0,106000.0,152.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,1.9542,0.0,31.0,31.0,53.0,1.0,5000.0,0.0,104000.0,90.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,6.172585,0.0,32.0,32.0,52.0,1.0,5000.0,0.0,56000.0,89.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.539255,0.0,33.0,33.0,66.0,1.0,25000.0,0.0,55000.0,11.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1.0,2.48987,0.0,34.0,34.0,8.0,1.0,10000.0,0.0,111000.0,10.0,,
,,,,,,,,,,,,,,,,,,,,,,2,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1.0,2.691585,0.0,35.0,35.0,42.0,1.0,5000.0,0.0,56000.0,29.0,,
