key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,respT_rt,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del,key_resp_4_keys,key_resp_4_rt
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.307815,0.0,21.0,21.0,52.0,1.0,5000.0,0.0,56000.0,en 89 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.50508,0.0,22.0,22.0,25.0,1.0,10000.0,0.0,10000.0,en 150 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,1.0903,0.0,23.0,23.0,72.0,1.0,25000.0,0.0,75000.0,en 31 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,4.078165,0.0,24.0,24.0,3.0,1.0,10000.0,0.0,109000.0,en 5 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.99138,0.0,25.0,25.0,61.0,1.0,25000.0,0.0,55000.0,en 6 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.452865,0.0,26.0,26.0,51.0,1.0,5000.0,0.0,35000.0,en 89 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.162575,0.0,27.0,27.0,70.0,1.0,25000.0,0.0,35000.0,en 30 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.57478,0.0,28.0,28.0,68.0,1.0,25000.0,0.0,125000.0,en 9 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,0.0,0.33893,0.0,29.0,29.0,71.0,1.0,25000.0,0.0,55000.0,en 30 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,left,1.0,0.689055,0.0,30.0,30.0,55.0,1.0,5000.0,0.0,14000.0,en 149 dias,,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2020-11-10_17h49.51.478,tareaTDv3,2020.2.5,Win32,60,,,right,1.0,0.00361,0.0,31.0,31.0,73.0,1.0,25000.0,0.0,125000.0,en 31 dias,,
