key1_keys,key1_rt,key2_keys,key2_rt,key2_2_keys,key2_2_rt,key2_3_keys,key2_3_rt,key3_keys,key3_rt,key4_keys,key4_rt,respP_keys,respP_corr,respP_rt,Practice_thisRepN,Practice_thisTrialN,Practice_thisN,Practice_thisIndex,Practice_ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5_keys,key5_rt,respT_keys,respT_corr,trials_thisRepN,trials_thisTrialN,trials_thisN,trials_thisIndex,trials_ran,ss_am,ss_del,ll_am,ll_del
space,12.08586,space,28.154925,space,36.357435,space,7.756175,space,11.52702,space,4.57505,right,0.0,5.760705,0.0,0.0,0.0,2.0,1.0,10000.0,19000.0,89.0,2,1112,2020-11-11_11h27.41.663,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,left,1.0,1.54236,0.0,1.0,1.0,1.0,1.0,25000.0,35000.0,150.0,2,1112,2020-11-11_11h27.41.663,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,right,1.0,2.86952,0.0,2.0,2.0,0.0,1.0,10000.0,109000.0,9.0,2,1112,2020-11-11_11h27.41.663,tareaTDv3,2020.2.5,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2,1112,2020-11-11_11h27.41.663,tareaTDv3,2020.2.5,MacIntel,60,g,141.8078,,0.0,0.0,0.0,0.0,88.0,1.0,25000.0,0.0,125000.0,149.0
