ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,10.4323820549,,,,,,,,,,,,,,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,,,,,,,,,,,,,,,space,33.0446355135,,,,,,,,,,,,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,,,,,,,,,,,,,,,,,space,29.0461093131,,,,,,,,,,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,,,,,,,,,,,,,,,,,,,space,5.51761208486,,,,,,,,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,,,,,,,,,,,,,,,,,,,,,right,5.35055456401,,,,,,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.86749888962,,,,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,left,1,2.60083729497,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,right,0,4.26841195655,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,right,0,3.71725820843,,,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,20.3642988888,,,,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,60.0,29,,,,,0,0,0,12,,,,,,,,,,,,,,,,,,right,1,7.36635511424,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,150.0,30,,,,,0,1,1,44,,,,,,,,,,,,,,,,,,left,1,3.74916568652,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,125.0,4,,,,,0,2,2,63,,,,,,,,,,,,,,,,,,left,1,3.09990222647,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,125.0,149,,,,,0,3,3,88,,,,,,,,,,,,,,,,,,right,0,2.25118078745,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,36.0,9,,,,,0,4,4,36,,,,,,,,,,,,,,,,,,right,1,7.94980034052,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,36.0,61,,,,,0,5,5,46,,,,,,,,,,,,,,,,,,right,1,3.20094360184,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,56.0,60,,,,,0,6,6,47,,,,,,,,,,,,,,,,,,right,1,3.66681488627,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,104.0,10,,,,,0,7,7,38,,,,,,,,,,,,,,,,,,left,1,2.39998673732,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,56.0,29,,,,,0,8,8,42,,,,,,,,,,,,,,,,,,right,1,2.96652413599,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,55.0,151,,,,,0,9,9,57,,,,,,,,,,,,,,,,,,right,0,5.23254727264,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,109.0,5,,,,,0,10,10,3,,,,,,,,,,,,,,,,,,left,1,3.76637680741,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,20.0,59,,,,,0,11,11,15,,,,,,,,,,,,,,,,,,right,0,3.41733665345,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,10.01,150,,,,,0,12,12,25,,,,,,,,,,,,,,,,,,left,0,3.01664000427,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,59.0,9,,,,,0,13,13,7,,,,,,,,,,,,,,,,,,left,1,4.13322490171,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,104.0,5,,,,,0,14,14,33,,,,,,,,,,,,,,,,,,right,1,1.6333251427,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,150.0,9,,,,,0,15,15,69,,,,,,,,,,,,,,,,,,left,1,5.26675001235,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,15.0,61,,,,,0,16,16,45,,,,,,,,,,,,,,,,,,left,0,3.03310677156,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,35.0,30,,,,,0,17,17,70,,,,,,,,,,,,,,,,,,right,0,3.83410835898,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,35.0,6,,,,,0,18,18,31,,,,,,,,,,,,,,,,,,left,1,3.56714552728,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,56.0,9,,,,,0,19,19,37,,,,,,,,,,,,,,,,,,right,1,3.60032272458,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,75.0,151,,,,,0,20,20,87,,,,,,,,,,,,,,,,,,left,0,2.79952521753,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,110.0,60,,,,,0,21,21,18,,,,,,,,,,,,,,,,,,right,1,3.05098102512,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,39.0,59,,,,,0,22,22,16,,,,,,,,,,,,,,,,,,left,1,5.66543875737,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,15.0,91,,,,,0,23,23,50,,,,,,,,,,,,,,,,,,left,0,1.88381709464,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,39.0,29,,,,,0,24,24,11,,,,,,,,,,,,,,,,,,left,1,3.31675021796,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,75.0,10,,,,,0,25,25,67,,,,,,,,,,,,,,,,,,left,1,2.48358258215,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,150.0,150,,,,,0,26,26,89,,,,,,,,,,,,,,,,,,right,0,8.01599794789,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,106.0,152,,,,,0,27,27,58,,,,,,,,,,,,,,,,,,right,1,3.60081005,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,149.0,59,,,,,0,28,28,49,,,,,,,,,,,,,,,,,,right,1,1.68401778225,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,149.0,10,,,,,0,29,29,39,,,,,,,,,,,,,,,,,,left,1,2.91710944055,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,25,0,55.0,90,,,,,0,30,30,81,,,,,,,,,,,,,,,,,,left,0,2.91987660591,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,61.0,4,,,,,0,31,31,2,,,,,,,,,,,,,,,,,,left,1,2.74978049792,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,10,0,111.0,30,,,,,0,32,32,13,,,,,,,,,,,,,,,,,,left,1,3.68333100295,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
,,,5,0,106.0,29,,,,,0,33,33,43,,,,,,,,,,,,,,,,,,left,1,5.25063537367,001,3.0.3,60.04660968324562,ninosDelConv2,2019_Aug_10_0921,223,
