ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,3.78462746099,,,,,,,,,,,,,,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,,,,,,,,,,,,,,,space,9.1643514437,,,,,,,,,,,,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,,,,,,,,,,,,,,,,,space,2.80139185826,,,,,,,,,,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,,,,,,,,,,,,,,,,,,,space,5.21673324547,,,,,,,,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,,,,,,,,,,,,,,,,,,,,,right,3.51631793956,,,,,,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,,,,,,,,,,,,,,,,,,,,,,,space,1.13343970868,,,,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
10,109,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,left,1,3.11643781746,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,left,0,5.21690905269,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
25,35,150,,,,,0,2,2,1,,,,,,,,,,,,,,,,,left,0,3.85061478539,,,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,5.94919378008,,,,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,25,0,55.0,60,,,,,0,0,0,76,,,,,,,,,,,,,,,,,,right,0,5.26677352178,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,10,0,39.0,6,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,right,1,3.1330844959,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,25,0,125.0,9,,,,,0,2,2,68,,,,,,,,,,,,,,,,,,right,1,1.95053443842,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,10,0,150.0,30,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,left,0,7.50013185537,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,10,0,19.0,11,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,right,0,3.91524808604,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,10,0,150.0,5,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,left,1,1.90002123051,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,25,0,75.0,5,,,,,0,6,6,62,,,,,,,,,,,,,,,,,,left,1,1.78394016798,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,5,0,14.0,31,,,,,0,7,7,40,,,,,,,,,,,,,,,,,,right,0,2.28385149332,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,5,0,151.0,4,,,,,0,8,8,34,,,,,,,,,,,,,,,,,,right,1,2.334655657,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,25,0,150.0,150,,,,,0,9,9,89,,,,,,,,,,,,,,,,,,right,0,3.14828050806,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,5,0,35.0,31,,,,,0,10,10,41,,,,,,,,,,,,,,,,,,right,1,6.03277364618,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,25,0,55.0,30,,,,,0,11,11,71,,,,,,,,,,,,,,,,,,left,0,6.03362749337,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,10,0,111.0,10,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,left,1,5.46655936603,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
,,,5,0,104.0,5,,,,,0,13,13,33,,,,,,,,,,,,,,,,,,left,1,2.45106982783,,,001,3.0.3,60.33119441326133,ninosDelConv2,2019_Aug_10_0927,189,
