ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,5,0,151.0,150,,,,,0,22,22,59,,,,,,,,,,,,,,,,,,left,0,3.23375790892,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,75.0,151,,,,,0,23,23,87,,,,,,,,,,,,,,,,,,left,0,6.1830818234,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,36.0,61,,,,,0,24,24,46,,,,,,,,,,,,,,,,,,left,0,5.19922624389,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,125.0,89,,,,,0,25,25,83,,,,,,,,,,,,,,,,,,right,1,2.46647331305,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,55.0,151,,,,,0,26,26,57,,,,,,,,,,,,,,,,,,left,1,7.96596953925,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,56.0,29,,,,,0,27,27,42,,,,,,,,,,,,,,,,,,right,1,2.53414663719,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,110.0,60,,,,,0,28,28,18,,,,,,,,,,,,,,,,,,right,1,2.53366342559,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,55.0,11,,,,,0,29,29,66,,,,,,,,,,,,,,,,,,right,1,1.46644555451,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,56.0,89,,,,,0,30,30,52,,,,,,,,,,,,,,,,,,left,0,3.44968837965,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,75.0,5,,,,,0,31,31,62,,,,,,,,,,,,,,,,,,right,1,4.69968786556,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,75.0,10,,,,,0,32,32,67,,,,,,,,,,,,,,,,,,right,1,1.23294313112,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,150.0,89,,,,,0,33,33,84,,,,,,,,,,,,,,,,,,right,1,2.29927477101,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,35.0,150,,,,,0,34,34,85,,,,,,,,,,,,,,,,,,right,0,2.9156368426,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,21.0,31,,,,,0,35,35,10,,,,,,,,,,,,,,,,,,right,0,1.91626450419,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,61.0,150,,,,,0,36,36,27,,,,,,,,,,,,,,,,,,left,0,4.68349717977,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,35.0,30,,,,,0,37,37,70,,,,,,,,,,,,,,,,,,right,0,3.73319707438,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,150.0,30,,,,,0,38,38,44,,,,,,,,,,,,,,,,,,left,1,1.43380201468,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,56.0,60,,,,,0,39,39,47,,,,,,,,,,,,,,,,,,left,1,3.98403138621,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,61.0,4,,,,,0,40,40,2,,,,,,,,,,,,,,,,,,right,1,1.71674062172,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,149.0,59,,,,,0,41,41,49,,,,,,,,,,,,,,,,,,right,1,1.68305714848,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,151.0,151,,,,,0,42,42,29,,,,,,,,,,,,,,,,,,right,0,5.69927867781,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,111.0,10,,,,,0,43,43,8,,,,,,,,,,,,,,,,,,right,1,3.94924629247,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,111.0,30,,,,,0,44,44,13,,,,,,,,,,,,,,,,,,right,1,1.21655145008,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,36.0,9,,,,,0,45,45,36,,,,,,,,,,,,,,,,,,right,1,0.950532972813,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,35.0,90,,,,,0,46,46,80,,,,,,,,,,,,,,,,,,left,0,2.99997532554,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,106.0,29,,,,,0,47,47,43,,,,,,,,,,,,,,,,,,right,1,2.23329166044,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,60.0,29,,,,,0,48,48,12,,,,,,,,,,,,,,,,,,right,1,4.64941737009,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,150.0,29,,,,,0,49,49,74,,,,,,,,,,,,,,,,,,left,1,2.06658352725,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,149.0,10,,,,,0,50,50,39,,,,,,,,,,,,,,,,,,left,1,1.13313878048,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,35.0,150,,,,,0,51,51,56,,,,,,,,,,,,,,,,,,left,0,2.95025281236,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,61.0,89,,,,,0,52,52,22,,,,,,,,,,,,,,,,,,left,0,4.66645470448,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,106.0,152,,,,,0,53,53,58,,,,,,,,,,,,,,,,,,left,1,5.03280546702,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,15.0,91,,,,,0,54,54,50,,,,,,,,,,,,,,,,,,right,0,4.16614318732,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,14.0,149,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,right,0,4.28251142707,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,5,0,104.0,10,,,,,0,56,56,38,,,,,,,,,,,,,,,,,,right,1,2.29983560508,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,75.0,31,,,,,0,57,57,72,,,,,,,,,,,,,,,,,,right,1,1.99989256263,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,150.0,150,,,,,0,58,58,89,,,,,,,,,,,,,,,,,,left,1,3.63318196125,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,10,0,19.0,11,,,,,0,59,59,5,,,,,,,,,,,,,,,,,,left,1,3.31706314022,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
,,,25,0,150.0,61,,,,,0,60,60,79,,,,,,,,,,,,,,,,,,left,1,0.866895147134,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
