ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,5,0,36.0,61,,,,,0,23,23,46,,,,,,,,,,,,,,,,,,left,0,1.65044067381,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,149.0,61,,,,,0,24,24,19,,,,,,,,,,,,,,,,,,right,1,1.73395105684,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,125.0,9,,,,,0,25,25,68,,,,,,,,,,,,,,,,,,right,1,1.24987212894,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,60.0,60,,,,,0,26,26,17,,,,,,,,,,,,,,,,,,left,0,3.6161408308,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,109.0,5,,,,,0,27,27,3,,,,,,,,,,,,,,,,,,left,1,0.916900347918,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,75.0,151,,,,,0,28,28,87,,,,,,,,,,,,,,,,,,right,0,2.96706703026,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,56.0,89,,,,,0,29,29,52,,,,,,,,,,,,,,,,,,right,1,5.64965519728,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,105.0,60,,,,,0,30,30,48,,,,,,,,,,,,,,,,,,left,1,2.91694507049,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,35.0,31,,,,,0,31,31,41,,,,,,,,,,,,,,,,,,left,1,2.28341682442,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,35.0,30,,,,,0,32,32,70,,,,,,,,,,,,,,,,,,left,0,1.69987791218,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,35.0,150,,,,,0,33,33,85,,,,,,,,,,,,,,,,,,right,0,2.76677453285,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,75.0,90,,,,,0,34,34,82,,,,,,,,,,,,,,,,,,right,0,1.79980722954,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,125.0,149,,,,,0,35,35,88,,,,,,,,,,,,,,,,,,left,0,3.68281383719,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,35.0,90,,,,,0,36,36,80,,,,,,,,,,,,,,,,,,left,0,4.2493950855,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,35.0,89,,,,,0,37,37,51,,,,,,,,,,,,,,,,,,left,1,7.09785767319,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,150.0,30,,,,,0,38,38,14,,,,,,,,,,,,,,,,,,right,1,1.65099174157,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,149.0,89,,,,,0,39,39,24,,,,,,,,,,,,,,,,,,right,1,4.03265486564,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,150.0,150,,,,,0,40,40,89,,,,,,,,,,,,,,,,,,left,0,1.44998316467,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,55.0,90,,,,,0,41,41,81,,,,,,,,,,,,,,,,,,left,0,6.43194495514,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,55.0,60,,,,,0,42,42,76,,,,,,,,,,,,,,,,,,left,0,2.38366074394,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,20.0,90,,,,,0,43,43,20,,,,,,,,,,,,,,,,,,left,0,1.3491784106,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,39.0,29,,,,,0,44,44,11,,,,,,,,,,,,,,,,,,left,0,6.19836016279,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,125.0,89,,,,,0,45,45,83,,,,,,,,,,,,,,,,,,left,1,4.96577161038,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,151.0,150,,,,,0,46,46,59,,,,,,,,,,,,,,,,,,right,1,4.66699737543,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,75.0,59,,,,,0,47,47,77,,,,,,,,,,,,,,,,,,left,1,3.50050197542,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,55.0,6,,,,,0,48,48,61,,,,,,,,,,,,,,,,,,right,1,4.94940767949,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,25,0,55.0,151,,,,,0,49,49,86,,,,,,,,,,,,,,,,,,right,0,9.09867090918,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,20.0,5,,,,,0,50,50,0,,,,,,,,,,,,,,,,,,left,1,2.04996774299,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,10,0,19.0,11,,,,,0,51,51,5,,,,,,,,,,,,,,,,,,right,1,2.78305672854,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
,,,5,0,151.0,4,,,,,0,52,52,34,,,,,,,,,,,,,,,,,,left,1,1.09993342962,001,3.0.3,59.78851514989867,ninosDelConv2,2019_May_09_0826,47,
