key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,key_resp_4.keys,key_resp_4.rt
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.51859,0,26,26,14,1,10000,0,150000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,3.406765,0,27,27,6,1,10000,0,40000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0,11.15511,0,28,28,80,1,25000,0,35000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.420045,0,29,29,74,1,25000,0,150000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,9.96834,0,30,30,58,1,5000,0,106000,152,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.9542,0,31,31,53,1,5000,0,104000,90,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,6.172585,0,32,32,52,1,5000,0,56000,89,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.539255,0,33,33,66,1,25000,0,55000,11,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.48987,0,34,34,8,1,10000,0,111000,10,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.691585,0,35,35,42,1,5000,0,56000,29,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0,16.521445,0,36,36,56,1,5000,0,35000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,8.068405,0,37,37,37,1,5000,0,56000,9,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,0,10.45896,0,38,38,75,1,25000,0,35000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.87633,0,39,39,41,1,5000,0,35000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.37289,0,40,40,72,1,25000,0,75000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,8.49791,0,41,41,27,1,10000,0,61000,150,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.77274,0,42,42,34,1,5000,0,151000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.870735,0,43,43,17,1,10000,0,60000,60,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.35089,0,44,44,70,1,25000,0,35000,30,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,6.40434,0,45,45,29,1,10000,0,151000,151,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,10.021835,0,46,46,28,1,10000,0,109000,149,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,0,6.60862,0,47,47,15,1,10000,0,20000,59,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,5.316765,0,48,48,73,1,25000,0,125000,31,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.303145,0,49,49,62,1,25000,0,75000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,1.363995,0,50,50,64,1,25000,0,150000,4,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.0274,0,51,51,60,1,25000,0,35000,5,,
,,,,,,,,,,,,,,,,,,,,,,002,226,2020-11-12_11h20.30.823,tareaTDv3,2020.2.5,Win32,60,,,,left,1,4.0446,0,52,52,65,1,25000,0,35000,11,,
