key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,2.17206,0,27,27,51,1,5000,0,35000,89
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.009345,0,28,28,41,1,5000,0,35000,31
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,2.999645,0,29,29,8,1,10000,0,111000,10
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.32028,0,30,30,7,1,10000,0,59000,9
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,4.068795,0,31,31,16,1,10000,0,39000,59
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,4.97562,0,32,32,18,1,10000,0,110000,60
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,2.6011,0,33,33,6,1,10000,0,40000,10
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.65508,0,34,34,38,1,5000,0,104000,10
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,4.71821,0,35,35,66,1,25000,0,55000,11
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,3.729195,0,36,36,83,1,25000,0,125000,89
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,2.36852,0,37,37,5,1,10000,0,19000,11
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,1,0.939085,0,38,38,30,1,5000,0,16000,4
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.144625,0,39,39,77,1,25000,0,75000,59
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,1,1.97504,0,40,40,62,1,25000,0,75000,5
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.09904,0,41,41,58,1,5000,0,106000,152
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,1.50065,0,42,42,88,1,25000,0,125000,149
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,right,0,1.036225,0,43,43,75,1,25000,0,35000,60
,,,,,,,,,,,,,,,,,,,,,,002,137,2020-11-12_11h21.34.485,tareaTDv3,2020.2.5,Win32,60,,,,left,0,0.90814,0,44,44,28,1,10000,0,109000,149
