key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,28,28,46,1,5000,0,36000,61,2.33
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,29,29,9,1,10000,0,151000,11,2.083
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,30,30,3,1,10000,0,109000,5,1.296
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,31,31,7,1,10000,0,59000,9,1.199
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,32,32,52,1,5000,0,56000,89,0.753
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,33,33,53,1,5000,0,104000,90,2.057
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,34,34,87,1,25000,0,75000,151,1.33
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,35,35,61,1,25000,0,55000,6,1.267
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,36,36,43,1,5000,0,106000,29,1.417
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,37,37,23,1,10000,0,110000,90,4.541
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,38,38,84,1,25000,0,150000,89,2.107
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,39,39,60,1,25000,0,35000,5,1.996
,,,,,,,,,,,,,,,,,,,,,,,002,213,2020-11-12_11h33.44.626,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,40,40,67,1,25000,0,75000,10,1.393
