ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
,,,,,,,,,,,,,,,space,25.8456641079,,,,,,,,,,,,,,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,,,,,,,,,,,,,,,space,18.4802753701,,,,,,,,,,,,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,,,,,,,,,,,,,,,,,space,18.830203325,,,,,,,,,,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,,,,,,,,,,,,,,,,,,,space,3.48316591344,,,,,,,,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,,,,,,,,,,,,,,,,,,,,,right,5.01619485649,,,,,,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,,,,,,,,,,,,,,,,,,,,,,,space,3.89953935338,,,,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
25,35,150,,,,,0,0,0,1,,,,,,,,,,,,,,,,,right,0,6.91569873993,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
10,19,89,,,,,0,1,1,2,,,,,,,,,,,,,,,,,right,0,3.5827999562,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
10,109,9,,,,,0,2,2,0,,,,,,,,,,,,,,,,,right,1,3.18316935771,,,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,16.3307433421,,,,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,25,0,35.0,90,,,,,0,0,0,80,,,,,,,,,,,,,,,,,,right,0,5.46590901492,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,5,0,54.0,5,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,right,1,1.99968693918,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,25,0,55.0,11,,,,,0,2,2,66,,,,,,,,,,,,,,,,,,right,1,1.2839533462,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,5,0,104.0,10,,,,,0,3,3,38,,,,,,,,,,,,,,,,,,right,1,1.36643021752,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,25,0,35.0,150,,,,,0,4,4,85,,,,,,,,,,,,,,,,,,right,0,3.39969485567,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,25,0,125.0,9,,,,,0,5,5,68,,,,,,,,,,,,,,,,,,right,1,1.7333287411,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,5,0,36.0,9,,,,,0,6,6,36,,,,,,,,,,,,,,,,,,left,1,1.63349832851,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,10,0,111.0,30,,,,,0,7,7,13,,,,,,,,,,,,,,,,,,left,1,1.21661288769,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
,,,5,0,35.0,150,,,,,0,8,8,56,,,,,,,,,,,,,,,,,,left,1,5.44926333037,,,001,3.0.3,60.0178019396274,ninosDelConv2,2019_Aug_10_0852,259,
