ssAmount;llAmount;llDelay;ss_am;ss_del;ll_am;ll_del;Practice.thisRepN;Practice.thisTrialN;Practice.thisN;Practice.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key1.keys;key1.rt;key2.keys;key2.rt;key2_2.keys;key2_2.rt;key2_3.keys;key2_3.rt;key3.keys;key3.rt;key4.keys;key4.rt;respP.keys;respP.corr;respP.rt;key5.keys;key5.rt;respT.keys;respT.corr;respT.rt;key_resp_4.keys;key_resp_4.rt;session;psychopyVersion;frameRate;expName;date;participant;;ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,key_resp_4.keys,key_resp_4.rt,session,psychopyVersion,frameRate,expName,date,participant,
;;;5;0;14.0;149;;;;;0;55;55;55;;;;;;;;;;;;;;;;;;right;0;428.251.142.707;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,14.0,149,,,,,0,55,55,55,,,,,,,,,,,,,,,,,,right,0,4.28251142707,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;104.0;10;;;;;0;56;56;38;;;;;;;;;;;;;;;;;;right;1;229.983.560.508;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,104.0,10,,,,,0,56,56,38,,,,,,,,,,,,,,,,,,right,1,2.29983560508,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;75.0;31;;;;;0;57;57;72;;;;;;;;;;;;;;;;;;right;1;199.989.256.263;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,75.0,31,,,,,0,57,57,72,,,,,,,,,,,,,,,,,,right,1,1.99989256263,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;150.0;150;;;;;0;58;58;89;;;;;;;;;;;;;;;;;;left;1;363.318.196.125;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,150.0,150,,,,,0,58,58,89,,,,,,,,,,,,,,,,,,left,1,3.63318196125,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;19.0;11;;;;;0;59;59;5;;;;;;;;;;;;;;;;;;left;1;331.706.314.022;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,19.0,11,,,,,0,59,59,5,,,,,,,,,,,,,,,,,,left,1,3.31706314022,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;150.0;61;;;;;0;60;60;79;;;;;;;;;;;;;;;;;;left;1;0.866895147134;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,150.0,61,,,,,0,60,60,79,,,,,,,,,,,,,,,,,,left,1,0.866895147134,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;105.0;60;;;;;0;61;61;48;;;;;;;;;;;;;;;;;;right;1;0.767751871608;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,105.0,60,,,,,0,61,61,48,,,,,,,,,,,,,,,,,,right,1,0.767751871608,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;55.0;90;;;;;0;62;62;81;;;;;;;;;;;;;;;;;;right;1;186.624.075.472;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,55.0,90,,,,,0,62,62,81,,,,,,,,,,,,,,,,,,right,1,1.86624075472,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;55.0;151;;;;;0;63;63;86;;;;;;;;;;;;;;;;;;right;0;249.983.498.827;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,55.0,151,,,,,0,63,63,86,,,,,,,,,,,,,,,,,,right,0,2.49983498827,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;35.0;89;;;;;0;64;64;51;;;;;;;;;;;;;;;;;;left;1;373.333.381.303;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,35.0,89,,,,,0,64,64,51,,,,,,,,,,,,,,,,,,left,1,3.73333381303,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;125.0;149;;;;;0;65;65;88;;;;;;;;;;;;;;;;;;right;0;354.983.766.098;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,125.0,149,,,,,0,65,65,88,,,,,,,,,,,,,,,,,,right,0,3.54983766098,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;75.0;59;;;;;0;66;66;77;;;;;;;;;;;;;;;;;;left;1;158.389.999.345;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,75.0,59,,,,,0,66,66,77,,,,,,,,,,,,,,,,,,left,1,1.58389999345,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;125.0;4;;;;;0;67;67;63;;;;;;;;;;;;;;;;;;left;1;0.733277267311;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,125.0,4,,,,,0,67,67,63,,,,,,,,,,,,,,,,,,left,1,0.733277267311,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;20.0;59;;;;;0;68;68;15;;;;;;;;;;;;;;;;;;left;0;175.033.670.617;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,20.0,59,,,,,0,68,68,15,,,,,,,,,,,,,,,,,,left,0,1.75033670617,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;125.0;59;;;;;0;69;69;78;;;;;;;;;;;;;;;;;;left;1;174.998.252.233;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,125.0,59,,,,,0,69,69,78,,,,,,,,,,,,,,,,,,left,1,1.74998252233,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;39.0;59;;;;;0;70;70;16;;;;;;;;;;;;;;;;;;right;0;378.301.263.135;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,39.0,59,,,,,0,70,70,16,,,,,,,,,,,,,,,,,,right,0,3.78301263135,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;151.0;4;;;;;0;71;71;34;;;;;;;;;;;;;;;;;;left;1;0.767544707283;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,151.0,4,,,,,0,71,71,34,,,,,,,,,,,,,,,,,,left,1,0.767544707283,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;75.0;90;;;;;0;72;72;82;;;;;;;;;;;;;;;;;;left;1;155.014.198.227;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,75.0,90,,,,,0,72,72,82,,,,,,,,,,,,,,,,,,left,1,1.55014198227,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;10.01;150;;;;;0;73;73;25;;;;;;;;;;;;;;;;;;right;0;11.999.916.723;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,10.01,150,,,,,0,73,73,25,,,,,,,,,,,,,,,,,,right,0,1.1999916723,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;15.0;61;;;;;0;74;74;45;;;;;;;;;;;;;;;;;;right;0;478.318.483.988;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,15.0,61,,,,,0,74,74,45,,,,,,,,,,,,,,,,,,right,0,4.78318483988,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;150.0;4;;;;;0;75;75;64;;;;;;;;;;;;;;;;;;right;1;0.950370016973;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,150.0,4,,,,,0,75,75,64,,,,,,,,,,,,,,,,,,right,1,0.950370016973,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;20.0;90;;;;;0;76;76;20;;;;;;;;;;;;;;;;;;left;0;256.652.389.653;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,20.0,90,,,,,0,76,76,20,,,,,,,,,,,,,,,,,,left,0,2.56652389653,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;104.0;90;;;;;0;77;77;53;;;;;;;;;;;;;;;;;;right;1;120.010.579.238;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,104.0,90,,,,,0,77,77,53,,,,,,,,,,,,,,,,,,right,1,1.20010579238,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;39.0;6;;;;;0;78;78;1;;;;;;;;;;;;;;;;;;right;1;0.80022474518;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,39.0,6,,,,,0,78,78,1,,,,,,,,,,,,,,,,,,right,1,0.80022474518,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;59.0;9;;;;;0;79;79;7;;;;;;;;;;;;;;;;;;right;1;0.700178788509;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,59.0,9,,,,,0,79,79,7,,,,,,,,,,,,,,,,,,right,1,0.700178788509,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;39.0;150;;;;;0;80;80;26;;;;;;;;;;;;;;;;;;right;0;249.975.993.577;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,39.0,150,,,,,0,80,80,26,,,,,,,,,,,,,,,,,,right,0,2.49975993577,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;39.0;29;;;;;0;81;81;11;;;;;;;;;;;;;;;;;;right;0;611.587.988.771;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,39.0,29,,,,,0,81,81,11,,,,,,,,,,,,,,,,,,right,0,6.11587988771,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;35.0;11;;;;;0;82;82;65;;;;;;;;;;;;;;;;;;left;1;106.677.783.979;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,35.0,11,,,,,0,82,82,65,,,,,,,,,,,,,,,,,,left,1,1.06677783979,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;40.0;91;;;;;0;83;83;21;;;;;;;;;;;;;;;;;;right;0;179.996.925.918;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,40.0,91,,,,,0,83,83,21,,,,,,,,,,,,,,,,,,right,0,1.79996925918,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;109.0;149;;;;;0;84;84;28;;;;;;;;;;;;;;;;;;left;0;245.000.452.362;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,109.0,149,,,,,0,84,84,28,,,,,,,,,,,,,,,,,,left,0,2.45000452362,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;149.0;61;;;;;0;85;85;19;;;;;;;;;;;;;;;;;;left;1;31.830.540.644;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,149.0,61,,,,,0,85,85,19,,,,,,,,,,,,,,,,,,left,1,3.1830540644,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;60.0;60;;;;;0;86;86;17;;;;;;;;;;;;;;;;;;right;1;341.587.947.682;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,60.0,60,,,,,0,86,86,17,,,,,,,,,,,,,,,,,,right,1,3.41587947682,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;10;0;150.0;30;;;;;0;87;87;14;;;;;;;;;;;;;;;;;;left;1;176.777.449.017;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,10,0,150.0,30,,,,,0,87,87,14,,,,,,,,,,,,,,,,,,left,1,1.76777449017,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;5;0;56.0;9;;;;;0;88;88;37;;;;;;;;;;;;;;;;;;right;1;135.006.394.843;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,5,0,56.0,9,,,,,0,88,88,37,,,,,,,,,,,,,,,,,,right,1,1.35006394843,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;25;0;150.0;9;;;;;0;89;89;69;;;;;;;;;;;;;;;;;;right;1;0.534027890768;;;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,25,0,150.0,9,,,,,0,89,89,69,,,,,,,,,,,,,,,,,,right,1,0.534027890768,,,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;right;646.575.929.085;1;3.0.3;60.063.604.583.168.400;ninosDelConv2;2019_May_09_0802;98;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right,6.46575929085,001,3.0.3,60.063604583168456,ninosDelConv2,2019_May_09_0802,98,
