key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,ssAmount,llAmount,llDelay,session,participant,date,expName,psychopyVersion,OS,frameRate,key5.keys,key5.rt,respT.keys,respT.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,ss_Amt,ss_Delay,ll_Amt,ll_Delay,respT.rt
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,27,27,25,1,10000,0,10000,150,2.6019
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,28,28,62,1,25000,0,75000,5,1.4463
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,29,29,50,1,5000,0,15000,91,8.1034
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,30,30,85,1,25000,0,35000,150,2.5021
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,31,31,3,1,10000,0,109000,5,2.1783
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,32,32,64,1,25000,0,150000,4,2.3145
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,33,33,5,1,10000,0,19000,11,4.3997
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,34,34,9,1,10000,0,151000,11,5.122
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,35,35,60,1,25000,0,35000,5,4.6183
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,36,36,51,1,5000,0,35000,89,2.9491
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,37,37,87,1,25000,0,75000,151,2.6666
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,38,38,44,1,5000,0,150000,30,10.6071
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,39,39,23,1,10000,0,110000,90,5.8963
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,40,40,52,1,5000,0,56000,89,2.6279
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,41,41,57,1,5000,0,55000,151,4.9533
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,42,42,79,1,25000,0,150000,61,3.4807
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,0,0,43,43,47,1,5000,0,56000,60,2.2155
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,44,44,7,1,10000,0,59000,9,5.221
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,45,45,22,1,10000,0,61000,89,2.3145
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,1,0,46,46,70,1,25000,0,35000,30,2.2988
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,right,1,0,47,47,72,1,25000,0,75000,31,6.1983
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,48,48,21,1,10000,0,40000,91,5.0364
,,,,,,,,,,,,,,,,,,,,,,,002,F453,2022-09-07_08h18.32.593,tareaTDv3,2020.2.5,Win32,60,,,left,0,0,49,49,76,1,25000,0,55000,60,4.4191
