ssAmount;llAmount;llDelay;ss_am;ss_del;ll_am;ll_del;Practice.thisRepN;Practice.thisTrialN;Practice.thisN;Practice.thisIndex;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key1.keys;key1.rt;key2.keys;key2.rt;key2_2.keys;key2_2.rt;key2_3.keys;key2_3.rt;key3.keys;key3.rt;key4.keys;key4.rt;respP.keys;respP.corr;respP.rt;key5.keys;key5.rt;respT.keys;respT.corr;respT.rt;session;psychopyVersion;frameRate;expName;date;participant;;ssAmount,llAmount,llDelay,ss_am,ss_del,ll_am,ll_del,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key1.keys,key1.rt,key2.keys,key2.rt,key2_2.keys,key2_2.rt,key2_3.keys,key2_3.rt,key3.keys,key3.rt,key4.keys,key4.rt,respP.keys,respP.corr,respP.rt,key5.keys,key5.rt,respT.keys,respT.corr,respT.rt,session,psychopyVersion,frameRate,expName,date,participant,
;;;25;0;125.0;9;;;;;0;27;27;68;;;;;;;;;;;;;;;;;;left;1;115.007.690.294;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,125.0,9,,,,,0,27,27,68,,,,,,,,,,,,,,,,,,left,1,1.15007690294,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;125.0;4;;;;;0;28;28;63;;;;;;;;;;;;;;;;;;right;1;181.685.340.591;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,125.0,4,,,,,0,28,28,63,,,,,,,,,,,,,,,,,,right,1,1.81685340591,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;150.0;150;;;;;0;29;29;89;;;;;;;;;;;;;;;;;;right;1;824.906.236.306;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,150.0,150,,,,,0,29,29,89,,,,,,,,,,,,,,,,,,right,1,8.24906236306,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;110.0;90;;;;;0;30;30;23;;;;;;;;;;;;;;;;;;right;1;418.283.147.831;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,110.0,90,,,,,0,30,30,23,,,,,,,,,,,,,,,,,,right,1,4.18283147831,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;16.0;4;;;;;0;31;31;30;;;;;;;;;;;;;;;;;;right;1;148.982.674.279;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,16.0,4,,,,,0,31,31,30,,,,,,,,,,,,,,,,,,right,1,14.8982674279,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;150.0;4;;;;;0;32;32;64;;;;;;;;;;;;;;;;;;right;1;181.678.503.612;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,150.0,4,,,,,0,32,32,64,,,,,,,,,,,,,,,,,,right,1,1.81678503612,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;105.0;60;;;;;0;33;33;48;;;;;;;;;;;;;;;;;;left;1;215.016.634.809;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,105.0,60,,,,,0,33,33,48,,,,,,,,,,,,,,,,,,left,1,2.15016634809,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;60.0;60;;;;;0;34;34;17;;;;;;;;;;;;;;;;;;left;1;411.685.967.725;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,60.0,60,,,,,0,34,34,17,,,,,,,,,,,,,,,,,,left,1,4.11685967725,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;104.0;90;;;;;0;35;35;53;;;;;;;;;;;;;;;;;;right;1;204.992.967.704;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,104.0,90,,,,,0,35,35,53,,,,,,,,,,,,,,,,,,right,1,2.04992967704,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;56.0;9;;;;;0;36;36;37;;;;;;;;;;;;;;;;;;right;1;391.634.675.302;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,56.0,9,,,,,0,36,36,37,,,,,,,,,,,,,,,,,,right,1,3.91634675302,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;60.0;29;;;;;0;37;37;12;;;;;;;;;;;;;;;;;;right;1;130.041.597.364;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,60.0,29,,,,,0,37,37,12,,,,,,,,,,,,,,,,,,right,1,1.30041597364,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;150.0;9;;;;;0;38;38;69;;;;;;;;;;;;;;;;;;left;1;126.707.331.883;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,150.0,9,,,,,0,38,38,69,,,,,,,,,,,,,,,,,,left,1,1.26707331883,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;15.0;61;;;;;0;39;39;45;;;;;;;;;;;;;;;;;;left;0;236.605.106.806;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,15.0,61,,,,,0,39,39,45,,,,,,,,,,,,,,,,,,left,0,2.36605106806,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;40.0;10;;;;;0;40;40;6;;;;;;;;;;;;;;;;;;left;1;261.747.757.206;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,40.0,10,,,,,0,40,40,6,,,,,,,,,,,,,,,,,,left,1,2.61747757206,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;149.0;59;;;;;0;41;41;49;;;;;;;;;;;;;;;;;;left;1;158.320.756.117;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,149.0,59,,,,,0,41,41,49,,,,,,,,,,,,,,,,,,left,1,1.58320756117,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;111.0;10;;;;;0;42;42;8;;;;;;;;;;;;;;;;;;right;1;176.688.414.626;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,111.0,10,,,,,0,42,42,8,,,,,,,,,,,,,,,,,,right,1,1.76688414626,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;75.0;151;;;;;0;43;43;87;;;;;;;;;;;;;;;;;;right;1;105.485.494.388;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,75.0,151,,,,,0,43,43,87,,,,,,,,,,,,,,,,,,right,1,10.5485494388,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;35.0;150;;;;;0;44;44;56;;;;;;;;;;;;;;;;;;left;0;2.199.998.355;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,35.0,150,,,,,0,44,44,56,,,,,,,,,,,,,,,,,,left,0,2.199998355,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;149.0;61;;;;;0;45;45;19;;;;;;;;;;;;;;;;;;right;1;136.756.187.677;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,149.0,61,,,,,0,45,45,19,,,,,,,,,,,,,,,,,,right,1,1.36756187677,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;106.0;152;;;;;0;46;46;58;;;;;;;;;;;;;;;;;;left;1;25.655.420.511;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,106.0,152,,,,,0,46,46,58,,,,,,,,,,,,,,,,,,left,1,2.5655420511,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;61.0;4;;;;;0;47;47;2;;;;;;;;;;;;;;;;;;left;1;183.600.916.248;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,61.0,4,,,,,0,47,47,2,,,,,,,,,,,,,,,,,,left,1,1.83600916248,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;10;0;61.0;150;;;;;0;48;48;27;;;;;;;;;;;;;;;;;;right;1;663.284.679.689;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,10,0,61.0,150,,,,,0,48,48,27,,,,,,,,,,,,,,,,,,right,1,6.63284679689,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;75.0;90;;;;;0;49;49;82;;;;;;;;;;;;;;;;;;left;1;441.672.406.951;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,75.0,90,,,,,0,49,49,82,,,,,,,,,,,,,,,,,,left,1,4.41672406951,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;56.0;89;;;;;0;50;50;52;;;;;;;;;;;;;;;;;;left;1;534.841.383.109;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,56.0,89,,,,,0,50,50,52,,,,,,,,,,,,,,,,,,left,1,5.34841383109,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;55.0;30;;;;;0;51;51;71;;;;;;;;;;;;;;;;;;left;1;651.530.908.095;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,55.0,30,,,,,0,51,51,71,,,,,,,,,,,,,,,,,,left,1,6.51530908095,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;55.0;90;;;;;0;52;52;81;;;;;;;;;;;;;;;;;;left;0;188.346.571.987;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,55.0,90,,,,,0,52,52,81,,,,,,,,,,,,,,,,,,left,0,1.88346571987,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;36.0;9;;;;;0;53;53;36;;;;;;;;;;;;;;;;;;right;1;193.384.159.682;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,36.0,9,,,,,0,53,53,36,,,,,,,,,,,,,,,,,,right,1,1.93384159682,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;5;0;14.0;31;;;;;0;54;54;40;;;;;;;;;;;;;;;;;;right;0;324.881.818.658;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,5,0,14.0,31,,,,,0,54,54,40,,,,,,,,,,,,,,,,,,right,0,3.24881818658,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;75.0;59;;;;;0;55;55;77;;;;;;;;;;;;;;;;;;left;1;161.658.619.996;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,75.0,59,,,,,0,55,55,77,,,,,,,,,,,,,,,,,,left,1,1.61658619996,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
;;;25;0;35.0;90;;;;;0;56;56;80;;;;;;;;;;;;;;;;;;left;0;259.910.831.973;1;3.0.3;60.075.104.943.475.200;ninosDelConv2;2019_May_09_0820;96;;,,,25,0,35.0,90,,,,,0,56,56,80,,,,,,,,,,,,,,,,,,left,0,2.59910831973,001,3.0.3,60.075104943475225,ninosDelConv2,2019_May_09_0820,96,
