Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),-3.64135015804879,1.32595516462114,-2.74620911415903,89,0.00729511183198742,-6.27599482665134,-1.00670548944625
scvscore,0.096285414222628,0.125241988749999,0.768794995860596,89,0.444050370245984,-0.152567749707425,0.345138578152681
Rsquared,0.898963860994782,0,0,0,0,0,0
