Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
(Intercept),-2.61857914429642,2.2604076322764,-1.15845438977717,125,0.248887120700247,-7.09220638646021,1.85504809786736
edad,0.0123725413381972,0.127039318148587,0.0973914337585319,125,0.922571534630526,-0.239054036054431,0.263799118730826
sexo_Masculino,-0.474391535942675,0.29554823317966,-1.60512391104128,125,0.110990065702907,-1.05931816972615,0.110535097840796
Rsquared,0.306477913596489,0,0,0,0,0,0
